MovieID,Title,Year,Genre,Director,Cast,Language,Country,Runtime(min),Rating,Votes,Budget(million$),Revenue(million$),Keywords,Overview,Popularity
MV1020,No Country for Old Men,1997,Adventure,Guillermo del Toro,Saoirse Ronan|Cate Blanchett|Robert Downey Jr|Benedict Cumberbatch,Italian,UK,177,8.9,2137025,96.2,342.8,escape|friendship|loss|dystopia,A adventure film featuring Saoirse Ronan.,69.84
MV1021,There Will Be Blood,1994,Fantasy|Comedy|Crime,Francis Ford Coppola,Jack Nicholson|Leonardo DiCaprio|Joaquin Phoenix|Tom Hardy,Korean,Germany,185,7.7,1361611,142.2,542.7,detective|magic|corruption,A fantasy film featuring Jack Nicholson.,69.3
MV1022,Whiplash,1988,Mystery|History|Crime,Woody Allen,Viola Davis|Chadwick Boseman|Joaquin Phoenix,Korean,South Korea,103,5.6,1036944,295.3,1501.5,alien|dystopia|loss,A mystery film featuring Viola Davis.,74.65
MV1023,Birdman,1994,Sci-Fi|Thriller,Wes Anderson,Gal Gadot|Leonardo DiCaprio|Natalie Portman|Saoirse Ronan|Ryan Gosling,Spanish,Australia,144,5.7,1055213,275.7,388.8,alien|serial killer|time travel,A sci-fi film featuring Gal Gadot.,95.5
MV1024,Parasite,1998,History|Fantasy|Adventure,Park Chan-wook,Timothée Chalamet|Christian Bale|Jeremy Renner|Zendaya|Idris Elba,Korean,Japan,183,8.5,2042547,189.9,486.0,escape|sacrifice|danger,A history film featuring Timothée Chalamet.,40.23
MV1025,1917,2004,Comedy,Wes Anderson,Jessica Chastain|Gal Gadot|Morgan Freeman,Korean,UK,138,7.0,2285876,142.4,137.7,coming of age|love|magic|revenge,A comedy film featuring Jessica Chastain.,94.85
MV1026,Joker,1989,History|Sci-Fi,Clint Eastwood,Ryan Gosling|Margot Robbie|Saoirse Ronan|Daniel Craig,English,Germany,128,8.0,1705827,218.6,1487.3,love|based on true story|betrayal,A history film featuring Ryan Gosling.,67.85
MV1027,Once Upon a Time in Hollywood,1978,Comedy|Action,Ang Lee,Jennifer Lawrence|Emma Stone|Florence Pugh|Benedict Cumberbatch,German,Japan,181,9.1,1778171,79.4,88.5,war|conspiracy|freedom,A comedy film featuring Jennifer Lawrence.,68.51
MV1028,Marriage Story,2019,Action|Biography|History,Ron Howard,Tom Hanks|Will Smith|Morgan Freeman,Korean,France,145,8.0,2375459,284.6,1134.9,supernatural|corruption|mystery|discovery,A action film featuring Tom Hanks.,19.73
MV1029,The Irishman,1971,Crime|Mystery,Ingmar Bergman,Brie Larson|Jake Gyllenhaal|Cate Blanchett|Tom Cruise,Korean,UK,174,8.4,517741,239.9,1138.2,conspiracy|superhero|supernatural,A crime film featuring Brie Larson.,16.21
MV1030,Ford v Ferrari,2011,Action|Sci-Fi,Ryan Coogler,Saoirse Ronan|Mark Ruffalo|Chris Evans,Hindi,France,140,6.2,2198364,289.8,731.9,magic|alien|superhero|danger|time travel,A action film featuring Saoirse Ronan.,86.65
MV1031,Little Women,2023,Romance,Hayao Miyazaki,Florence Pugh|Gene Hackman|Will Smith,German,Italy,88,7.4,1373208,58.6,122.5,heist|danger|revenge|serial killer,A romance film featuring Florence Pugh.,95.33
MV1032,Knives Out,1975,Fantasy,Wong Kar-wai,Jack Nicholson|Viola Davis|Gal Gadot|Zendaya,Hindi,India,186,5.6,1244113,70.4,400.5,supernatural|magic|serial killer|conspiracy,A fantasy film featuring Jack Nicholson.,48.3
MV1033,Uncut Gems,2017,Horror|History|Fantasy,Jordan Peele,Joaquin Phoenix|Idris Elba|Ryan Gosling|Matt Damon,Korean,Italy,100,8.3,786574,61.5,371.4,serial killer|escape|redemption|loss,A horror film featuring Joaquin Phoenix.,36.66
MV1034,Tenet,1993,Romance,Christopher Nolan,Dustin Hoffman|Scarlett Johansson|Margot Robbie|Meryl Streep|Brad Pitt,Japanese,France,166,8.8,2068894,35.3,20.9,magic|robot|heist|justice,A romance film featuring Dustin Hoffman.,96.89
MV1035,Dune,1986,Drama|History,Federico Fellini,Cate Blanchett|Gene Hackman|Chris Evans|Chadwick Boseman,English,France,104,8.6,1284378,30.1,71.1,dystopia|freedom|serial killer|coming of age|robot,A drama film featuring Cate Blanchett.,91.77
MV1036,The Power of the Dog,1989,Sci-Fi|Romance|Crime,Quentin Tarantino,Jeremy Renner|Natalie Portman|Emma Stone|Chris Evans|Idris Elba,French,France,115,6.2,324844,51.2,182.5,magic|escape|survival|freedom|alien,A sci-fi film featuring Jeremy Renner.,16.41
MV1037,Spencer,1984,Biography|History,Guillermo del Toro,Matt Damon|Dustin Hoffman|Ryan Gosling|Chris Hemsworth,Spanish,Japan,190,6.0,260140,53.9,151.3,escape|robot|mystery|alien|discovery,A biography film featuring Matt Damon.,72.98
MV1038,Belfast,1987,Adventure|Animation|Biography,Ridley Scott,Meryl Streep|Saoirse Ronan|Jeremy Renner|Jennifer Lawrence|Keanu Reeves,Japanese,USA,96,6.4,2422559,178.2,116.8,danger|survival|justice|magic|serial killer,A adventure film featuring Meryl Streep.,68.64
MV1039,CODA,1987,Crime,Park Chan-wook,Daniel Craig|Robert De Niro|Zendaya|Charlize Theron|Adam Driver,Italian,Italy,170,5.9,684548,102.3,583.4,based on true story|survival|alien|betrayal,A crime film featuring Daniel Craig.,38.31
MV1040,Oppenheimer,1990,Biography,Federico Fellini,Leonardo DiCaprio|Robert Downey Jr|Dustin Hoffman|Florence Pugh|Adam Driver,English,South Korea,151,6.9,2100831,189.5,1174.9,danger|friendship|escape,A biography film featuring Leonardo DiCaprio.,49.43
MV1041,Barbie,2014,Drama|Action,Ron Howard,Christian Bale|Joaquin Phoenix|Jack Nicholson|Leonardo DiCaprio|Adam Driver,French,South Korea,192,9.0,1945452,284.4,1523.8,kingdom|escape|detective,A drama film featuring Christian Bale.,73.49
MV1042,Killers of the Flower Moon,1996,Animation|Thriller,Jordan Peele,Morgan Freeman|Jessica Chastain|Jake Gyllenhaal|Keanu Reeves|Denzel Washington,Spanish,UK,120,8.4,1750394,105.3,674.7,revenge|escape|discovery|kingdom,A animation film featuring Morgan Freeman.,87.87
MV1043,Poor Things,1998,Animation|Horror|Biography,Ingmar Bergman,Jennifer Lawrence|Jake Gyllenhaal|Gal Gadot|Viola Davis,German,South Korea,194,8.4,193070,98.9,400.3,coming of age|power|kingdom|survival,A animation film featuring Jennifer Lawrence.,21.36
MV1044,American Fiction,2007,History|Drama,Hayao Miyazaki,Al Pacino|Florence Pugh|Leonardo DiCaprio,Spanish,Germany,196,8.0,657437,27.1,172.4,heist|based on true story|betrayal|coming of age,A history film featuring Al Pacino.,95.87
MV1045,The Zone of Interest,2010,Biography|Animation|Adventure,Martin Scorsese,Cate Blanchett|Viola Davis|Chris Evans|Chadwick Boseman|Tom Hardy,Korean,UK,140,9.2,431557,135.9,775.3,survival|time travel|war,A biography film featuring Cate Blanchett.,36.4
MV1046,Saltburn,1993,Comedy|Thriller,Wong Kar-wai,Chadwick Boseman|Amy Adams|Christian Bale|Robert De Niro|Will Smith,German,South Korea,148,9.0,610279,73.5,388.4,ambition|revenge|alien|escape,A comedy film featuring Chadwick Boseman.,70.98
MV1047,Past Lives,1980,Animation,Billy Wilder,Joaquin Phoenix|Chris Evans|Saoirse Ronan|Gal Gadot|Idris Elba,Hindi,Japan,110,9.3,2036721,36.5,122.6,escape|love|based on true story|danger,A animation film featuring Joaquin Phoenix.,10.73
MV1048,May December,2013,Action|Crime|Fantasy,Ryan Coogler,Ryan Gosling|Keanu Reeves|Charlize Theron|Chris Evans,Korean,Japan,171,8.4,583693,190.3,1384.5,survival|discovery|robot|supernatural|friendship,A action film featuring Ryan Gosling.,18.11
MV1049,Priscilla,1988,Fantasy|Sci-Fi,Bong Joon-ho,Scarlett Johansson|Dustin Hoffman|Mark Ruffalo,Japanese,France,117,9.0,2031016,290.4,788.0,mystery|alien|family|power,A fantasy film featuring Scarlett Johansson.,77.87
MV1050,The Holdovers,1984,Fantasy|Mystery|Sci-Fi,Akira Kurosawa,Michael Fassbender|Leonardo DiCaprio|Idris Elba,French,India,132,8.1,1109584,177.4,1182.9,redemption|freedom|magic|love,A fantasy film featuring Michael Fassbender.,65.76
MV1051,Everything Everywhere All at Once,2005,Crime|Thriller,James Cameron,Florence Pugh|Gal Gadot|Joaquin Phoenix|Chris Hemsworth|Adam Driver,French,France,90,9.1,1286597,298.8,409.6,friendship|coming of age|alien,A crime film featuring Florence Pugh.,43.39
MV1052,The Banshees of Inisherin,2017,Adventure|Sci-Fi|Crime,Wes Anderson,Chris Hemsworth|Natalie Portman|Daniel Craig|Will Smith,German,Japan,89,8.1,921295,135.8,1036.0,redemption|supernatural|conspiracy|war,A adventure film featuring Chris Hemsworth.,45.83
MV1053,Tár,1982,History,Jordan Peele,Robert Downey Jr|Emma Stone|Chris Hemsworth,English,USA,185,6.8,538163,237.2,483.7,identity|freedom|heist|power|revenge,A history film featuring Robert Downey Jr.,34.95
MV1054,The Fabelmans,1979,Adventure,Ang Lee,Matt Damon|Robert Downey Jr|Tom Hanks,Spanish,USA,130,8.5,1007957,178.7,110.5,war|friendship|dystopia|serial killer,A adventure film featuring Matt Damon.,20.23
MV1055,Aftersun,1974,Animation|Biography,Akira Kurosawa,Tom Cruise|Natalie Portman|Timothée Chalamet|Denzel Washington|Ryan Gosling,English,Australia,123,7.2,140655,22.9,93.7,superhero|redemption|kingdom|robot,A animation film featuring Tom Cruise.,16.61
MV1056,The Menu,1975,Crime|Comedy,James Cameron,Margot Robbie|Will Smith|Chris Evans,Italian,Germany,161,7.5,1913020,154.1,574.3,mystery|identity|superhero|robot|freedom,A crime film featuring Margot Robbie.,47.24
MV1057,Glass Onion,2022,Sci-Fi|History,David Fincher,Saoirse Ronan|Jennifer Lawrence|Robert Downey Jr|Idris Elba,Italian,France,172,9.0,291577,31.9,36.4,redemption|supernatural|friendship|war,A sci-fi film featuring Saoirse Ronan.,62.78
MV1058,Nope,2005,Horror|Mystery|Drama,Wong Kar-wai,Robert Downey Jr|Saoirse Ronan|Paul Rudd|Brad Pitt,Japanese,Japan,130,5.9,2138242,67.8,367.9,redemption|conspiracy|supernatural,A horror film featuring Robert Downey Jr.,20.34
MV1059,Bones and All,1987,Thriller|Biography|Sci-Fi,Steven Spielberg,Robert Downey Jr|Gal Gadot|Margot Robbie|Tom Hanks|Amy Adams,Japanese,Japan,128,6.8,770870,261.6,1241.9,family|power|love|betrayal,A thriller film featuring Robert Downey Jr.,77.15
MV1060,Barbarian,1983,Sci-Fi|Animation,Woody Allen,Mark Ruffalo|Joaquin Phoenix|Paul Rudd,Italian,UK,198,5.7,670224,227.6,198.7,danger|robot|superhero,A sci-fi film featuring Mark Ruffalo.,53.71
MV1061,Dune Part Two,1998,Romance|Thriller,Denis Villeneuve,Saoirse Ronan|Matt Damon|Tom Hardy|Chadwick Boseman,Hindi,Australia,170,6.7,934921,121.6,607.4,identity|discovery|friendship,A romance film featuring Saoirse Ronan.,78.77
MV1062,Civil War,1988,Drama|Action,Ryan Coogler,Saoirse Ronan|Amy Adams|Scarlett Johansson|Jessica Chastain|Dustin Hoffman,Korean,Australia,156,8.7,1495484,26.3,183.1,superhero|love|alien,A drama film featuring Saoirse Ronan.,92.9
MV1063,Love Lies Bleeding,1990,Sci-Fi|Crime|History,Wong Kar-wai,Matt Damon|Michael Fassbender|Tom Hanks|Jennifer Lawrence,Spanish,India,191,8.1,1527720,31.0,211.8,superhero|based on true story|serial killer,A sci-fi film featuring Matt Damon.,17.08
MV1064,The Substance,1989,Horror|Thriller|History,Alfonso Cuaron,Denzel Washington|Chris Evans|Matt Damon,Korean,Italy,129,8.3,629456,74.7,119.4,justice|power|family,A horror film featuring Denzel Washington.,25.94
MV1065,Alien Romulus,2019,Animation|History|Crime,Hayao Miyazaki,Gene Hackman|Chris Hemsworth|Chris Evans|Will Smith|Jennifer Lawrence,Italian,France,141,5.8,1864755,191.3,1238.2,war|conspiracy|detective|family|discovery,A animation film featuring Gene Hackman.,51.56
MV1066,Longlegs,1972,Horror,Kathryn Bigelow,Chris Hemsworth|Robert De Niro|Will Smith,German,India,159,7.6,182061,137.7,905.2,loss|time travel|magic|detective|power,A horror film featuring Chris Hemsworth.,96.2
MV1067,Furiosa,1998,Biography,Woody Allen,Robert De Niro|Denzel Washington|Chris Hemsworth|Amy Adams|Meryl Streep,Korean,India,141,7.5,675829,112.3,829.3,dystopia|heist|war|family,A biography film featuring Robert De Niro.,39.67
MV1068,Deadpool and Wolverine,2005,Sci-Fi|Romance|Biography,Wes Anderson,Robert De Niro|Tom Cruise|Robert Downey Jr|Morgan Freeman,Italian,Japan,168,8.2,1653990,43.0,250.1,discovery|coming of age|heist,A sci-fi film featuring Robert De Niro.,83.19
MV1069,Inside Out 2,2012,History|Fantasy|Mystery,Ridley Scott,Robert Downey Jr|Saoirse Ronan|Denzel Washington|Mark Ruffalo|Tom Hanks,Italian,Japan,108,9.1,1443329,284.6,1180.2,friendship|power|family,A history film featuring Robert Downey Jr.,36.62
MV1070,A Quiet Place,2020,Adventure,Martin Scorsese,Benedict Cumberbatch|Will Smith|Scarlett Johansson|Keanu Reeves|Jessica Chastain,Spanish,France,108,8.7,704321,217.7,180.2,sacrifice|robot|escape|freedom,A adventure film featuring Benedict Cumberbatch.,58.06
MV1071,A Quiet Place Part II,1989,History|Thriller,Akira Kurosawa,Gene Hackman|Timothée Chalamet|Florence Pugh|Tom Hardy|Jessica Chastain,German,France,189,6.3,590485,262.5,234.0,supernatural|redemption|serial killer|mystery,A history film featuring Gene Hackman.,35.66
MV1072,Bird Box,2018,Romance,Hayao Miyazaki,Morgan Freeman|Saoirse Ronan|Robert De Niro|Ryan Gosling|Timothée Chalamet,Italian,USA,138,5.7,2115570,115.3,391.6,supernatural|freedom|love,A romance film featuring Morgan Freeman.,38.68
MV1073,Don't Look Up,1976,Mystery|Horror|Comedy,Peter Jackson,Tom Hardy|Zendaya|Gal Gadot,Spanish,India,142,7.8,342296,10.6,22.4,serial killer|superhero|mystery,A mystery film featuring Tom Hardy.,79.86
MV1074,The Trial of the Chicago 7,1985,Drama|Action,Ron Howard,Chris Evans|Will Smith|Florence Pugh|Cate Blanchett,French,India,161,7.5,2171642,174.6,1028.2,superhero|revenge|conspiracy|sacrifice,A drama film featuring Chris Evans.,61.36
MV1075,Mank,1981,Mystery|Drama|Adventure,Akira Kurosawa,Al Pacino|Dustin Hoffman|Denzel Washington,English,Germany,196,7.3,1632697,294.4,707.3,conspiracy|family|sacrifice,A mystery film featuring Al Pacino.,75.96
MV1076,Judas and the Black Messiah,2010,Biography,Woody Allen,Meryl Streep|Charlize Theron|Dustin Hoffman,Italian,France,191,8.5,1958769,294.3,1203.4,friendship|family|alien,A biography film featuring Meryl Streep.,13.33
MV1077,Minari,1982,Biography,Guillermo del Toro,Jennifer Lawrence|Joaquin Phoenix|Denzel Washington,German,Australia,145,6.5,811545,89.4,622.8,heist|danger|mystery,A biography film featuring Jennifer Lawrence.,81.94
MV1078,Promising Young Woman,1997,Fantasy|Animation,Ingmar Bergman,Amy Adams|Daniel Craig|Gal Gadot|Mark Ruffalo,Japanese,UK,178,7.1,1816097,182.7,1218.2,escape|time travel|redemption|betrayal|discovery,A fantasy film featuring Amy Adams.,50.13
MV1079,Women Talking,2015,Comedy|Fantasy,Hayao Miyazaki,Timothée Chalamet|Meryl Streep|Paul Rudd|Charlize Theron,German,Japan,166,9.2,250577,27.1,143.1,detective|corruption|love|power,A comedy film featuring Timothée Chalamet.,86.38
MV1080,Causeway,2013,Action|Comedy,James Cameron,Chris Hemsworth|Mark Ruffalo|Jessica Chastain,English,France,171,7.2,1565937,114.7,713.8,friendship|serial killer|supernatural|based on true story|time travel,A action film featuring Chris Hemsworth.,68.46
MV1081,Decision to Leave,1985,Action,Bong Joon-ho,Al Pacino|Jessica Chastain|Jack Nicholson|Matt Damon,Japanese,Japan,175,7.2,1207796,209.7,1675.4,mystery|friendship|family,A action film featuring Al Pacino.,50.68
MV1082,Drive My Car,2015,Drama|Biography,Stanley Kubrick,Charlize Theron|Brie Larson|Cate Blanchett|Jack Nicholson|Dustin Hoffman,Japanese,Japan,193,6.1,740190,239.1,1031.9,loss|friendship|sacrifice,A drama film featuring Charlize Theron.,81.13
MV1083,Memoria,1971,Adventure|Crime,Akira Kurosawa,Jack Nicholson|Scarlett Johansson|Will Smith|Robert De Niro,French,Japan,135,9.3,2017666,160.1,1003.6,family|friendship|time travel|robot|alien,A adventure film featuring Jack Nicholson.,71.21
MV1084,Titane,1992,History,Bong Joon-ho,Saoirse Ronan|Denzel Washington|Brad Pitt,French,Australia,104,6.7,689338,100.2,583.2,serial killer|escape|betrayal|ambition,A history film featuring Saoirse Ronan.,27.67
MV1085,Avatar,2005,Comedy|Mystery,Francis Ford Coppola,Dustin Hoffman|Robert De Niro|Denzel Washington|Chris Hemsworth|Christian Bale,Spanish,France,169,7.9,1426079,253.5,1198.3,betrayal|survival|ambition,A comedy film featuring Dustin Hoffman.,68.6
MV1086,Avatar The Way of Water,2019,Sci-Fi|Crime|Mystery,Steven Spielberg,Chris Evans|Dustin Hoffman|Tom Hardy|Chris Hemsworth,Japanese,India,116,8.6,1713275,92.7,97.1,corruption|robot|dystopia,A sci-fi film featuring Chris Evans.,53.58
MV1087,Top Gun Maverick,1983,Crime|Comedy,Stanley Kubrick,Jennifer Lawrence|Paul Rudd|Charlize Theron|Michael Fassbender|Scarlett Johansson,Italian,Australia,156,5.9,1023922,142.6,357.4,power|redemption|war,A crime film featuring Jennifer Lawrence.,36.12
MV1088,Black Panther,1994,Sci-Fi|Thriller|Comedy,Stanley Kubrick,Paul Rudd|Jennifer Lawrence|Jake Gyllenhaal|Christian Bale|Daniel Craig,Hindi,India,197,6.7,107208,31.6,109.0,sacrifice|identity|conspiracy|war,A sci-fi film featuring Paul Rudd.,14.55
MV1089,Avengers Endgame,2001,History|Mystery|Biography,Greta Gerwig,Dustin Hoffman|Leonardo DiCaprio|Natalie Portman|Saoirse Ronan,Spanish,Japan,178,6.9,1701370,113.0,396.0,loss|supernatural|escape|family|coming of age,A history film featuring Dustin Hoffman.,55.38
MV1090,Avengers Infinity War,2018,Romance|Crime|Mystery,Denis Villeneuve,Natalie Portman|Michael Fassbender|Mark Ruffalo,Italian,Australia,131,8.4,844909,182.7,641.4,survival|friendship|heist,A romance film featuring Natalie Portman.,82.36
MV1091,Spider-Man No Way Home,2003,Comedy|Crime,Peter Jackson,Will Smith|Jennifer Lawrence|Christian Bale|Michael Fassbender,Japanese,Italy,149,8.6,2242795,149.5,705.9,love|supernatural|heist|mystery,A comedy film featuring Will Smith.,98.19
MV1092,The Batman,2007,Biography|Fantasy,Steven Spielberg,Zendaya|Idris Elba|Chris Hemsworth|Tom Cruise|Gene Hackman,Korean,USA,159,7.3,2208789,190.6,981.2,power|sacrifice|survival|mystery,A biography film featuring Zendaya.,27.17
MV1093,Doctor Strange in the Multiverse of Madness,1998,Sci-Fi|Comedy,Wong Kar-wai,Emma Stone|Adam Driver|Denzel Washington|Will Smith|Zendaya,English,France,151,6.3,1373356,299.4,1223.9,time travel|justice|alien|heist,A sci-fi film featuring Emma Stone.,59.16
MV1094,Thor Love and Thunder,2013,Mystery|History|Fantasy,Ang Lee,Zendaya|Jake Gyllenhaal|Viola Davis|Margot Robbie|Jack Nicholson,Japanese,South Korea,123,8.4,879386,208.6,869.3,conspiracy|danger|escape|mystery,A mystery film featuring Zendaya.,61.61
MV1095,Black Adam,2004,Sci-Fi|Horror,Wes Anderson,Meryl Streep|Tom Hardy|Brie Larson|Robert De Niro,Italian,India,168,6.5,2019404,68.1,456.9,danger|friendship|redemption|sacrifice,A sci-fi film featuring Meryl Streep.,31.82
MV1096,Shazam,2012,Thriller|Mystery|History,Quentin Tarantino,Adam Driver|Benedict Cumberbatch|Brie Larson,Hindi,UK,172,8.4,31732,289.5,2268.0,dystopia|magic|loss,A thriller film featuring Adam Driver.,78.03
MV1097,Aquaman,1988,Romance|Mystery,Quentin Tarantino,Chris Hemsworth|Gene Hackman|Ryan Gosling,English,France,138,8.9,747311,280.5,216.7,kingdom|justice|escape|survival,A romance film featuring Chris Hemsworth.,10.83
MV1098,Wonder Woman,2006,Drama|Horror|Romance,Jordan Peele,Dustin Hoffman|Al Pacino|Daniel Craig|Scarlett Johansson|Denzel Washington,Hindi,Japan,109,8.6,1396989,52.9,208.5,justice|revenge|heist|escape,A drama film featuring Dustin Hoffman.,61.1
MV1099,Justice League,2018,Comedy,Federico Fellini,Denzel Washington|Jennifer Lawrence|Robert De Niro|Michael Fassbender,French,France,102,7.3,1050384,7.0,23.6,danger|heist|discovery|revenge,A comedy film featuring Denzel Washington.,33.54
MV1100,Captain America Civil War,1993,Thriller|Action|Mystery,Denis Villeneuve,Joaquin Phoenix|Christian Bale|Michael Fassbender|Chadwick Boseman,Japanese,UK,166,9.0,1247477,113.4,244.5,magic|power|alien,A thriller film featuring Joaquin Phoenix.,77.3
MV1101,Captain America The Winter Soldier,2008,Sci-Fi|Fantasy,Greta Gerwig,Robert Downey Jr|Emma Stone|Viola Davis|Chadwick Boseman|Keanu Reeves,French,Australia,142,7.5,1527435,28.0,132.5,detective|loss|power,A sci-fi film featuring Robert Downey Jr.,24.81
MV1102,Iron Man,2024,Animation|Drama|Mystery,Tim Burton,Tom Cruise|Daniel Craig|Robert De Niro|Denzel Washington|Timothée Chalamet,English,India,101,7.5,1925951,171.4,804.0,discovery|love|based on true story|ambition|revenge,A animation film featuring Tom Cruise.,77.12
MV1103,Iron Man 2,2007,Action,Park Chan-wook,Gal Gadot|Cate Blanchett|Dustin Hoffman|Brad Pitt,French,India,89,6.6,764896,231.8,1447.3,dystopia|supernatural|coming of age|robot|betrayal,A action film featuring Gal Gadot.,71.45
MV1104,Iron Man 3,2012,Comedy|Mystery|Horror,Denis Villeneuve,Dustin Hoffman|Michael Fassbender|Al Pacino,Spanish,South Korea,191,5.5,105358,293.7,1166.7,superhero|coming of age|freedom|sacrifice|alien,A comedy film featuring Dustin Hoffman.,41.15
MV1105,Thor,1987,Fantasy,Denis Villeneuve,Robert Downey Jr|Adam Driver|Will Smith,English,South Korea,111,5.8,150829,136.7,757.3,sacrifice|survival|based on true story,A fantasy film featuring Robert Downey Jr.,49.51
MV1106,Thor The Dark World,2004,Biography,Quentin Tarantino,Denzel Washington|Tom Hardy|Ryan Gosling,Italian,Italy,115,6.6,610877,295.8,1304.3,discovery|danger|war|justice,A biography film featuring Denzel Washington.,66.34
