Visit_ID,Pet_ID,Pet_Name,Species,Breed,Gender,Age_Years,Neutered,Owner_Name,Owner_City,Clinic,Vet_Name,Visit_Date,Visit_Type,Diagnosis,Medication_Prescribed,Consultation_Fee,Medicine_Cost,Total_Bill,Discount_Pct,Net_Bill,Payment_Method,Insurance_Claimed,Follow_Up_Required,Follow_Up_Date,Visit_Duration_Mins,Satisfaction_Score
VIS-000016,PET-02894,Milo,Cat,British Shorthair,Male,9.6,No,Owner_4576,Bangalore,HealPet Bangalore,Dr. Kabir Joshi,2022-01-03,Follow-up,Eye Infection,No,323.36,1098.74,1422.1,10,1279.89,Credit Card,No,Yes,2022-01-31,63,4
VIS-000017,PET-00960,Bella,Dog,Golden Retriever,Male,1.0,No,Owner_1264,Delhi,HealPet Bangalore,Dr. Rahul Mehta,2022-01-03,Lab Test,Obesity,Yes,2046.61,1526.11,3572.72,0,3572.72,Insurance,No,No,,34,4
VIS-000018,PET-01681,Leo,Cat,Bengal,Male,2.4,No,Owner_7379,Jaipur,AnimalCare Chennai,Dr. Kabir Joshi,2022-01-03,Emergency,Ear Infection,No,5468.0,134.78,5602.78,5,5322.64,Cash,No,No,,52,5
VIS-000019,PET-01658,Milo,Dog,Labrador,Female,10.7,Yes,Owner_3820,Chennai,CityVet Kolkata,Dr. Sneha Rao,2022-01-04,Lab Test,Eye Infection,No,2941.17,1987.06,4928.23,0,4928.23,Debit Card,Yes,Yes,2022-01-22,21,3
VIS-000020,PET-01415,Luna,Cat,Maine Coon,Female,0.1,No,Owner_8103,Kolkata,PetMed Hyderabad,Dr. Arjun Patel,2022-01-04,Follow-up,Healthy,Yes,582.46,1858.32,2440.78,5,2318.74,Credit Card,No,No,,77,4
VIS-000021,PET-00037,Leo,Dog,Poodle,Male,3.7,Yes,Owner_7043,Chennai,CityVet Kolkata,Dr. Sneha Rao,2022-01-04,Grooming,Obesity,Yes,981.37,612.79,1594.16,0,1594.16,Insurance,Yes,No,,27,5
VIS-000022,PET-00757,Simba,Turtle,Box Turtle,Male,12.0,Yes,Owner_8695,Pune,CityVet Kolkata,Dr. Kabir Joshi,2022-01-04,Routine Checkup,Healthy,No,712.99,373.99,1086.98,10,978.28,Cash,No,No,,18,5
VIS-000023,PET-00930,Ruby,Cat,British Shorthair,Female,1.0,Yes,Owner_2122,Hyderabad,AnimalCare Chennai,Dr. Sneha Rao,2022-01-04,Routine Checkup,Skin Infection,Yes,337.64,948.81,1286.45,15,1093.48,Credit Card,No,Yes,2022-01-16,115,5
VIS-000024,PET-02127,Ruby,Bird,Macaw,Female,3.2,Yes,Owner_1479,Jaipur,AnimalCare Chennai,Dr. Arjun Patel,2022-01-05,Vaccination,Ear Infection,Yes,623.67,1910.16,2533.83,0,2533.83,UPI,No,Yes,2022-01-17,28,4
VIS-000025,PET-01301,Max,Turtle,Red-Eared Slider,Male,9.6,No,Owner_4142,Pune,AnimalCare Chennai,Dr. Priya Sharma,2022-01-05,Surgery,Dental Disease,Yes,7146.89,459.25,7606.14,10,6845.53,Debit Card,Yes,Yes,2022-01-16,81,5
VIS-000026,PET-02900,Coco,Dog,Beagle,Female,0.6,Yes,Owner_7573,Mumbai,PetMed Hyderabad,Dr. Rahul Mehta,2022-01-05,Emergency,Arthritis,Yes,3261.59,1850.39,5111.98,10,4600.78,Insurance,No,No,,82,4
VIS-000027,PET-01303,Milo,Bird,Macaw,Female,3.0,No,Owner_5810,Jaipur,HealPet Bangalore,Dr. Ananya Singh,2022-01-05,Vaccination,Digestive Issues,Yes,922.53,1480.13,2402.66,10,2162.39,Insurance,No,Yes,2022-01-20,75,5
VIS-000028,PET-00798,Ruby,Cat,Ragdoll,Male,5.6,Yes,Owner_4962,Bangalore,PawCare Clinic Delhi,Dr. Arjun Patel,2022-01-05,Vaccination,Skin Infection,No,1486.07,934.84,2420.91,5,2299.86,Cash,No,Yes,2022-01-20,19,4
VIS-000029,PET-01371,Daisy,Cat,Siamese,Male,4.4,No,Owner_4280,Delhi,CityVet Kolkata,Dr. Sneha Rao,2022-01-05,Surgery,Healthy,Yes,13013.34,95.61,13108.95,5,12453.5,Cash,No,No,,70,4
VIS-000030,PET-00338,Luna,Cat,Maine Coon,Female,2.5,Yes,Owner_8252,Delhi,PawCare Clinic Delhi,Dr. Priya Sharma,2022-01-05,Routine Checkup,Cancer,Yes,779.36,1927.97,2707.33,15,2301.23,UPI,No,No,,85,3
VIS-000031,PET-01685,Simba,Cat,British Shorthair,Male,0.9,Yes,Owner_1950,Chennai,PawCare Clinic Delhi,Dr. Arjun Patel,2022-01-05,Surgery,Healthy,Yes,5659.57,1571.47,7231.04,0,7231.04,Credit Card,No,No,,59,5
VIS-000032,PET-01964,Ruby,Bird,Parrot,Female,2.7,Yes,Owner_3164,Bangalore,PetMed Hyderabad,Dr. Priya Sharma,2022-01-05,Surgery,Digestive Issues,Yes,5661.92,537.36,6199.28,10,5579.35,Debit Card,Yes,Yes,2022-02-01,50,4
VIS-000033,PET-01474,Daisy,Dog,German Shepherd,Female,1.9,Yes,Owner_1105,Mumbai,VetPlus Mumbai,Dr. Rahul Mehta,2022-01-06,Routine Checkup,Eye Infection,Yes,311.7,923.41,1235.11,5,1173.35,Debit Card,No,No,,118,5
VIS-000034,PET-02802,Kitty,Cat,Stray,Female,2.6,No,Owner_7293,Hyderabad,PetMed Hyderabad,Dr. Rahul Mehta,2022-01-06,Routine Checkup,Parasites,No,436.83,966.28,1403.11,0,1403.11,Cash,No,No,,50,5
VIS-000035,PET-02437,Rocky,Rabbit,Holland Lop,Male,1.8,No,Owner_8869,Kolkata,HealPet Bangalore,Dr. Arjun Patel,2022-01-06,Routine Checkup,Skin Infection,No,328.25,1872.19,2200.44,5,2090.42,Insurance,No,Yes,2022-01-27,52,3
VIS-000036,PET-00377,Bella,Dog,German Shepherd,Female,7.3,No,Owner_5501,Jaipur,CityVet Kolkata,Dr. Kabir Joshi,2022-01-06,Routine Checkup,Dental Disease,Yes,564.07,907.78,1471.85,0,1471.85,Cash,No,Yes,2022-01-17,97,5
VIS-000037,PET-00075,Luna,Dog,Husky,Female,5.9,No,Owner_5801,Kolkata,PawCare Clinic Delhi,Dr. Kabir Joshi,2022-01-07,Vaccination,Healthy,Yes,800.59,1464.75,2265.34,10,2038.81,Debit Card,No,No,,32,4
VIS-000038,PET-02661,Kitty,Guinea Pig,Teddy,Female,1.5,No,Owner_1227,Chennai,HealPet Bangalore,Dr. Arjun Patel,2022-01-07,Emergency,Cancer,Yes,8737.67,867.36,9605.03,5,9124.78,UPI,No,Yes,2022-01-23,22,2
VIS-000039,PET-01687,Buddy,Dog,Beagle,Male,3.4,No,Owner_3531,Chennai,HealPet Bangalore,Dr. Arjun Patel,2022-01-07,Grooming,Diabetes,Yes,848.85,1915.86,2764.71,0,2764.71,UPI,No,Yes,2022-01-17,26,5
VIS-000040,PET-02756,Simba,Cat,Persian,Male,1.3,No,Owner_8040,Jaipur,PetMed Hyderabad,Dr. Ananya Singh,2022-01-07,Dental Cleaning,Healthy,No,2792.05,1038.58,3830.63,5,3639.1,UPI,No,No,,65,5
VIS-000041,PET-01998,Daisy,Cat,Siamese,Female,2.4,Yes,Owner_5501,Hyderabad,HealPet Bangalore,Dr. Priya Sharma,2022-01-07,Surgery,Respiratory Infection,Yes,6598.32,280.67,6878.99,10,6191.09,Debit Card,No,No,,95,3
VIS-000042,PET-02190,Bruno,Cat,Bengal,Male,1.7,Yes,Owner_2300,Jaipur,CityVet Kolkata,Dr. Priya Sharma,2022-01-07,Surgery,Ear Infection,No,11817.81,1192.12,13009.93,0,13009.93,Debit Card,No,No,,20,5
VIS-000043,PET-00989,Milo,Guinea Pig,Peruvian,Male,4.3,No,Owner_9585,Pune,AnimalCare Chennai,Dr. Rahul Mehta,2022-01-07,Grooming,Allergy,Yes,951.35,1910.78,2862.13,10,2575.92,Insurance,No,Yes,2022-02-03,93,5
VIS-000044,PET-01600,Coco,Turtle,Box Turtle,Male,1.9,Yes,Owner_4818,Bangalore,AnimalCare Chennai,Dr. Priya Sharma,2022-01-07,Lab Test,Arthritis,Yes,2314.27,1885.44,4199.71,5,3989.72,Debit Card,No,No,,84,5
VIS-000045,PET-02890,Tiger,Dog,Husky,Male,2.5,Yes,Owner_2857,Hyderabad,PetMed Hyderabad,Dr. Ananya Singh,2022-01-07,Routine Checkup,Healthy,No,535.55,1317.89,1853.44,0,1853.44,Cash,No,No,,96,1
VIS-000046,PET-02294,Daisy,Rabbit,Flemish Giant,Female,5.1,No,Owner_6520,Chennai,VetPlus Mumbai,Dr. Sneha Rao,2022-01-07,Surgery,Digestive Issues,No,8566.48,1277.31,9843.79,10,8859.41,Cash,No,Yes,2022-01-14,48,4
VIS-000047,PET-01060,Bella,Bird,Parrot,Male,2.1,No,Owner_2701,Mumbai,VetPlus Mumbai,Dr. Sneha Rao,2022-01-07,Vaccination,Allergy,Yes,785.96,1290.25,2076.21,15,1764.78,Cash,No,Yes,2022-01-20,46,5
VIS-000048,PET-02510,Tiger,Cat,Maine Coon,Female,9.5,Yes,Owner_4624,Chennai,PetMed Hyderabad,Dr. Ananya Singh,2022-01-08,Follow-up,Healthy,Yes,216.04,1324.62,1540.66,10,1386.59,Credit Card,No,No,,102,5
VIS-000049,PET-00718,Bella,Cat,Persian,Male,0.8,No,Owner_9718,Bangalore,PawCare Clinic Delhi,Dr. Sneha Rao,2022-01-08,Dental Cleaning,Healthy,Yes,2398.01,1304.26,3702.27,0,3702.27,Cash,Yes,No,,14,4
VIS-000050,PET-02895,Simba,Dog,Bulldog,Female,5.4,Yes,Owner_1173,Delhi,HealPet Bangalore,Dr. Sneha Rao,2022-01-09,Emergency,Skin Infection,No,8162.17,1438.03,9600.2,10,8640.18,Insurance,No,Yes,2022-01-16,105,5
VIS-000051,PET-02041,Coco,Cat,Stray,Male,2.2,No,Owner_4653,Bangalore,PawCare Clinic Delhi,Dr. Rahul Mehta,2022-01-09,Routine Checkup,Respiratory Infection,No,393.06,1160.49,1553.55,0,1553.55,Credit Card,No,No,,74,4
VIS-000052,PET-01327,Simba,Cat,Ragdoll,Female,2.2,Yes,Owner_2450,Mumbai,AnimalCare Chennai,Dr. Kabir Joshi,2022-01-10,Follow-up,Allergy,Yes,544.01,1631.49,2175.5,5,2066.72,UPI,No,No,,11,4
VIS-000053,PET-02849,Bruno,Rabbit,Flemish Giant,Female,4.0,No,Owner_3663,Hyderabad,VetPlus Mumbai,Dr. Rahul Mehta,2022-01-10,Routine Checkup,Diabetes,Yes,739.5,1480.83,2220.33,10,1998.3,Debit Card,No,Yes,2022-02-04,68,5
VIS-000054,PET-02639,Kitty,Dog,Poodle,Female,3.0,No,Owner_4124,Delhi,PetMed Hyderabad,Dr. Priya Sharma,2022-01-10,Emergency,Eye Infection,Yes,10535.74,324.5,10860.24,5,10317.23,UPI,No,Yes,2022-02-03,74,4
VIS-000055,PET-02049,Milo,Guinea Pig,Peruvian,Male,2.1,Yes,Owner_6114,Delhi,HealPet Bangalore,Dr. Arjun Patel,2022-01-10,Routine Checkup,Healthy,Yes,708.05,579.31,1287.36,0,1287.36,Insurance,Yes,No,,66,3
VIS-000056,PET-00312,Simba,Rabbit,Flemish Giant,Male,0.1,Yes,Owner_6670,Mumbai,PawCare Clinic Delhi,Dr. Sneha Rao,2022-01-11,Routine Checkup,Arthritis,Yes,544.18,1551.48,2095.66,10,1886.09,Debit Card,No,Yes,2022-02-08,15,5
VIS-000057,PET-00225,Daisy,Rabbit,Mini Rex,Male,0.4,No,Owner_7207,Bangalore,HealPet Bangalore,Dr. Ananya Singh,2022-01-11,Routine Checkup,Obesity,Yes,387.87,1722.15,2110.02,5,2004.52,Cash,Yes,No,,78,5
VIS-000058,PET-00709,Bella,Guinea Pig,Peruvian,Male,4.9,Yes,Owner_6143,Delhi,PawCare Clinic Delhi,Dr. Ananya Singh,2022-01-11,Follow-up,Parasites,Yes,308.45,982.46,1290.91,0,1290.91,Cash,No,No,,107,4
VIS-000059,PET-02885,Charlie,Cat,Stray,Female,3.0,Yes,Owner_1380,Delhi,PetMed Hyderabad,Dr. Sneha Rao,2022-01-11,Emergency,Healthy,Yes,9376.19,1179.5,10555.69,0,10555.69,Cash,Yes,No,,21,4
VIS-000060,PET-00187,Bella,Cat,Maine Coon,Male,4.8,Yes,Owner_2472,Chennai,AnimalCare Chennai,Dr. Rahul Mehta,2022-01-11,Dental Cleaning,Skin Infection,Yes,3953.85,975.45,4929.3,15,4189.9,Credit Card,No,Yes,2022-01-28,93,5
VIS-000061,PET-02284,Daisy,Dog,Bulldog,Female,12.4,Yes,Owner_9094,Chennai,VetPlus Mumbai,Dr. Priya Sharma,2022-01-11,Routine Checkup,Arthritis,No,355.63,1525.83,1881.46,15,1599.24,UPI,No,Yes,2022-01-22,22,3
VIS-000062,PET-00094,Kitty,Dog,Pomeranian,Male,4.6,No,Owner_1890,Hyderabad,PawCare Clinic Delhi,Dr. Arjun Patel,2022-01-12,Grooming,Healthy,Yes,405.0,1252.89,1657.89,0,1657.89,Insurance,Yes,No,,73,4
VIS-000063,PET-00195,Ruby,Bird,Cockatiel,Female,0.2,Yes,Owner_8226,Bangalore,CityVet Kolkata,Dr. Ananya Singh,2022-01-12,Emergency,Digestive Issues,Yes,5532.9,1450.44,6983.34,0,6983.34,Debit Card,No,No,,94,4
VIS-000064,PET-01658,Rocky,Cat,Bengal,Female,1.5,No,Owner_8185,Kolkata,PetMed Hyderabad,Dr. Arjun Patel,2022-01-12,Grooming,Diabetes,No,679.4,1359.32,2038.72,0,2038.72,Debit Card,No,No,,102,4
VIS-000065,PET-00090,Bruno,Rabbit,Flemish Giant,Female,3.6,Yes,Owner_1668,Jaipur,HealPet Bangalore,Dr. Sneha Rao,2022-01-12,Emergency,Parasites,Yes,7976.71,1831.9,9808.61,0,9808.61,Debit Card,Yes,No,,59,4
VIS-000066,PET-02952,Coco,Cat,Ragdoll,Male,1.1,No,Owner_7327,Delhi,PawCare Clinic Delhi,Dr. Ananya Singh,2022-01-12,Emergency,Respiratory Infection,Yes,3123.23,1699.42,4822.65,15,4099.25,UPI,No,No,,84,5
VIS-000067,PET-00989,Charlie,Dog,Bulldog,Male,13.4,Yes,Owner_5457,Delhi,PetMed Hyderabad,Dr. Kabir Joshi,2022-01-12,Routine Checkup,Healthy,Yes,721.92,171.23,893.15,5,848.49,UPI,No,No,,69,5
VIS-000068,PET-00734,Simba,Dog,Golden Retriever,Female,11.6,No,Owner_6843,Kolkata,VetPlus Mumbai,Dr. Sneha Rao,2022-01-12,Vaccination,Healthy,No,838.05,1301.27,2139.32,5,2032.35,UPI,No,No,,67,4
VIS-000069,PET-02003,Charlie,Guinea Pig,Peruvian,Female,7.5,Yes,Owner_8771,Delhi,HealPet Bangalore,Dr. Kabir Joshi,2022-01-12,Vaccination,Diabetes,Yes,1408.57,1959.16,3367.73,5,3199.34,UPI,No,Yes,2022-02-11,57,5
VIS-000070,PET-00570,Ruby,Rabbit,Mini Rex,Male,2.6,No,Owner_2802,Delhi,PetMed Hyderabad,Dr. Sneha Rao,2022-01-13,Grooming,Skin Infection,Yes,663.4,1781.14,2444.54,0,2444.54,Insurance,No,No,,28,4
VIS-000071,PET-00783,Max,Dog,German Shepherd,Male,7.4,No,Owner_5800,Kolkata,CityVet Kolkata,Dr. Ananya Singh,2022-01-13,Vaccination,Fracture,Yes,805.34,710.54,1515.88,0,1515.88,UPI,No,No,,29,3
VIS-000072,PET-01384,Max,Dog,Beagle,Male,0.6,No,Owner_5419,Chennai,VetPlus Mumbai,Dr. Rahul Mehta,2022-01-13,Grooming,Respiratory Infection,Yes,540.67,749.71,1290.38,0,1290.38,Cash,Yes,Yes,2022-02-07,86,4
VIS-000073,PET-00870,Simba,Dog,Labrador,Male,1.5,No,Owner_8461,Bangalore,VetPlus Mumbai,Dr. Priya Sharma,2022-01-13,Grooming,Allergy,No,1172.55,1815.52,2988.07,10,2689.26,UPI,No,Yes,2022-02-03,96,5
VIS-000074,PET-02917,Buddy,Dog,Pomeranian,Male,2.5,Yes,Owner_8394,Chennai,PawCare Clinic Delhi,Dr. Rahul Mehta,2022-01-13,Routine Checkup,Cancer,Yes,594.73,1679.87,2274.6,15,1933.41,UPI,Yes,Yes,2022-02-06,64,5
VIS-000075,PET-00205,Ruby,Cat,British Shorthair,Male,5.4,No,Owner_4225,Hyderabad,VetPlus Mumbai,Dr. Priya Sharma,2022-01-13,Routine Checkup,Parasites,No,712.8,670.39,1383.19,0,1383.19,UPI,No,No,,41,3
VIS-000076,PET-01235,Tiger,Cat,Siamese,Male,2.7,No,Owner_1653,Hyderabad,CityVet Kolkata,Dr. Priya Sharma,2022-01-13,Dental Cleaning,Healthy,Yes,1189.14,858.37,2047.51,10,1842.76,Cash,No,No,,105,3
VIS-000077,PET-00704,Ruby,Bird,Cockatiel,Male,0.6,No,Owner_6484,Mumbai,PawCare Clinic Delhi,Dr. Sneha Rao,2022-01-13,Vaccination,Digestive Issues,No,1042.92,261.89,1304.81,0,1304.81,Credit Card,No,No,,30,3
VIS-000078,PET-01430,Max,Dog,Beagle,Female,1.7,No,Owner_8851,Mumbai,PawCare Clinic Delhi,Dr. Kabir Joshi,2022-01-13,Dental Cleaning,Healthy,Yes,3199.13,780.34,3979.47,10,3581.52,Cash,No,No,,98,5
VIS-000079,PET-02820,Luna,Dog,Pomeranian,Female,1.6,No,Owner_7215,Pune,PetMed Hyderabad,Dr. Kabir Joshi,2022-01-14,Routine Checkup,Ear Infection,No,791.92,406.19,1198.11,5,1138.2,Debit Card,No,No,,23,5
VIS-000080,PET-02792,Buddy,Bird,Cockatiel,Male,1.4,Yes,Owner_8537,Pune,PetMed Hyderabad,Dr. Arjun Patel,2022-01-14,Dental Cleaning,Digestive Issues,Yes,3809.83,524.62,4334.45,0,4334.45,Credit Card,Yes,Yes,2022-02-13,112,4
VIS-000081,PET-00287,Ruby,Bird,Lovebird,Male,0.7,No,Owner_9204,Pune,AnimalCare Chennai,Dr. Arjun Patel,2022-01-14,Routine Checkup,Healthy,No,351.94,496.1,848.04,10,763.24,Debit Card,No,No,,20,5
VIS-000082,PET-02501,Daisy,Cat,Persian,Female,2.1,Yes,Owner_6376,Bangalore,AnimalCare Chennai,Dr. Sneha Rao,2022-01-14,Routine Checkup,Digestive Issues,Yes,486.62,1592.42,2079.04,0,2079.04,Debit Card,No,No,,93,4
VIS-000083,PET-02048,Milo,Dog,Poodle,Female,2.4,No,Owner_3868,Chennai,PetMed Hyderabad,Dr. Priya Sharma,2022-01-15,Grooming,Respiratory Infection,Yes,1199.0,1400.76,2599.76,0,2599.76,UPI,No,No,,60,5
VIS-000084,PET-01493,Simba,Cat,British Shorthair,Male,6.0,No,Owner_1927,Jaipur,AnimalCare Chennai,Dr. Sneha Rao,2022-01-15,Grooming,Healthy,Yes,827.9,802.6,1630.5,10,1467.45,Cash,No,No,,108,3
VIS-000085,PET-01583,Milo,Dog,Beagle,Male,6.4,Yes,Owner_2722,Pune,HealPet Bangalore,Dr. Priya Sharma,2022-01-15,Emergency,Ear Infection,No,11569.48,1569.35,13138.83,0,13138.83,Credit Card,No,Yes,2022-02-09,90,3
VIS-000086,PET-02879,Luna,Cat,Persian,Female,3.0,No,Owner_8403,Chennai,AnimalCare Chennai,Dr. Kabir Joshi,2022-01-15,Follow-up,Skin Infection,Yes,301.39,870.87,1172.26,0,1172.26,Cash,No,Yes,2022-01-29,98,4
VIS-000087,PET-00600,Charlie,Cat,British Shorthair,Male,2.5,Yes,Owner_7739,Hyderabad,PawCare Clinic Delhi,Dr. Sneha Rao,2022-01-15,Follow-up,Obesity,Yes,210.22,617.78,828.0,15,703.8,Credit Card,No,No,,78,4
VIS-000088,PET-00811,Daisy,Dog,Pomeranian,Female,6.0,No,Owner_4778,Kolkata,VetPlus Mumbai,Dr. Rahul Mehta,2022-01-16,Dental Cleaning,Diabetes,No,3838.59,131.48,3970.07,0,3970.07,Insurance,Yes,Yes,2022-02-15,101,5
VIS-000089,PET-01731,Kitty,Rabbit,Flemish Giant,Female,8.7,Yes,Owner_4518,Bangalore,CityVet Kolkata,Dr. Sneha Rao,2022-01-16,Dental Cleaning,Fracture,Yes,1791.37,399.46,2190.83,10,1971.75,Insurance,Yes,Yes,2022-02-14,114,5
VIS-000090,PET-01212,Ruby,Guinea Pig,Peruvian,Female,4.5,No,Owner_1078,Bangalore,AnimalCare Chennai,Dr. Arjun Patel,2022-01-16,Dental Cleaning,Respiratory Infection,Yes,2681.93,1105.51,3787.44,5,3598.07,UPI,Yes,No,,76,3
VIS-000091,PET-00147,Simba,Dog,Golden Retriever,Male,6.4,No,Owner_1784,Mumbai,PetMed Hyderabad,Dr. Kabir Joshi,2022-01-16,Dental Cleaning,Fracture,No,2081.8,1199.92,3281.72,10,2953.55,UPI,Yes,No,,76,5
VIS-000092,PET-00939,Charlie,Hamster,Dwarf,Female,11.2,Yes,Owner_4154,Hyderabad,CityVet Kolkata,Dr. Rahul Mehta,2022-01-16,Routine Checkup,Obesity,Yes,588.78,1176.48,1765.26,0,1765.26,Cash,Yes,Yes,2022-01-26,48,2
VIS-000093,PET-02146,Bella,Dog,Labrador,Female,0.2,Yes,Owner_5829,Pune,HealPet Bangalore,Dr. Priya Sharma,2022-01-16,Grooming,Ear Infection,No,1147.06,1653.78,2800.84,0,2800.84,Credit Card,Yes,Yes,2022-02-06,63,4
VIS-000094,PET-01398,Bruno,Rabbit,Holland Lop,Male,8.3,Yes,Owner_8155,Pune,CityVet Kolkata,Dr. Arjun Patel,2022-01-16,Dental Cleaning,Digestive Issues,Yes,3840.67,746.71,4587.38,0,4587.38,Insurance,Yes,Yes,2022-02-10,80,5
VIS-000095,PET-01352,Charlie,Bird,Cockatiel,Female,1.3,Yes,Owner_8213,Kolkata,HealPet Bangalore,Dr. Rahul Mehta,2022-01-16,Vaccination,Obesity,No,1377.04,185.48,1562.52,0,1562.52,Cash,No,No,,88,4
VIS-000096,PET-02387,Leo,Cat,Persian,Male,2.6,Yes,Owner_7025,Hyderabad,AnimalCare Chennai,Dr. Arjun Patel,2022-01-16,Lab Test,Healthy,No,1216.17,1454.12,2670.29,10,2403.26,Insurance,No,No,,70,4
VIS-000097,PET-02529,Tiger,Bird,Cockatiel,Female,6.4,No,Owner_2417,Mumbai,PetMed Hyderabad,Dr. Ananya Singh,2022-01-16,Emergency,Obesity,Yes,10209.78,790.84,11000.62,0,11000.62,Cash,No,No,,103,5
VIS-000098,PET-02247,Max,Guinea Pig,Peruvian,Male,5.1,Yes,Owner_2081,Hyderabad,AnimalCare Chennai,Dr. Priya Sharma,2022-01-16,Routine Checkup,Ear Infection,Yes,309.19,1336.4,1645.59,0,1645.59,Credit Card,No,Yes,2022-01-26,84,5
VIS-000099,PET-01996,Buddy,Cat,Siamese,Female,0.6,No,Owner_3171,Jaipur,PawCare Clinic Delhi,Dr. Sneha Rao,2022-01-16,Routine Checkup,Cancer,Yes,508.19,1783.95,2292.14,15,1948.32,Cash,Yes,No,,118,2
VIS-000100,PET-01821,Leo,Cat,Bengal,Male,4.3,Yes,Owner_4567,Mumbai,HealPet Bangalore,Dr. Ananya Singh,2022-01-17,Dental Cleaning,Obesity,Yes,3832.4,966.45,4798.85,0,4798.85,Cash,No,Yes,2022-02-06,70,3
