Order_ID,SKU,Product_Name,Category,Supplier,Warehouse,Region,Order_Date,Delivery_Date,Ship_Mode,Payment_Terms,Unit_Price,Quantity_Ordered,Quantity_Received,Quantity_On_Hand,Reorder_Level,Lead_Time_Days,Discount_Pct,Total_Order_Value,Net_Value,Stock_Status,Defective_Units,Return_Units,Days_To_Deliver
ORD-000036,SKU-04890,Product_Zeta_5,Industrial Parts,Supplier_L,Kolkata WH,West,2022-01-09,2022-02-04,Road,Immediate,3758.88,278,278,942,102,29,0,1044968.64,1044968.64,Discontinued,9,12,26
ORD-000037,SKU-09838,Product_Sigma_32,FMCG,Supplier_K,Chennai WH,Central,2022-01-09,2022-01-20,Air,Net 60,4486.01,408,408,308,159,44,5,1830292.08,1738777.48,In Stock,5,12,11
ORD-000038,SKU-06393,Product_Kappa_2,Apparel,Supplier_H,Chennai WH,Central,2022-01-09,2022-01-13,Rail,Net 30,4232.16,40,72,595,86,33,0,169286.4,169286.4,In Stock,1,5,4
ORD-000039,SKU-09792,Product_Alpha_22,Pharmaceuticals,Supplier_D,Hyderabad WH,North,2022-01-09,2022-01-11,Air,Immediate,922.24,109,109,873,75,24,0,100524.16,100524.16,In Stock,3,5,2
ORD-000040,SKU-09433,Product_Alpha_22,Electronics,Supplier_F,Hyderabad WH,South,2022-01-09,2022-01-24,Road,Net 30,4781.9,74,74,552,37,10,5,353860.6,336167.57,In Stock,1,4,15
ORD-000041,SKU-08513,Product_Alpha_26,Apparel,Supplier_C,Chennai WH,East,2022-01-10,2022-01-12,Rail,Net 60,1889.62,66,66,202,132,25,0,124714.92,124714.92,In Stock,9,6,2
ORD-000042,SKU-03612,Product_Beta_14,Electronics,Supplier_L,Kolkata WH,East,2022-01-10,2022-01-16,Rail,Net 30,1702.81,168,335,415,24,41,15,286072.08,243161.27,In Stock,3,13,6
ORD-000043,SKU-08041,Product_Kappa_44,Pharmaceuticals,Supplier_F,Chennai WH,North,2022-01-10,2022-02-09,Sea,Net 15,321.53,262,262,639,131,10,0,84240.86,84240.86,In Stock,6,4,30
ORD-000044,SKU-07235,Product_Gamma_48,Electronics,Supplier_J,Chennai WH,South,2022-01-10,2022-01-29,Road,Immediate,2436.01,368,368,141,171,39,5,896451.68,851629.1,Low Stock,4,14,19
ORD-000045,SKU-06486,Product_Delta_5,Pharmaceuticals,Supplier_F,Hyderabad WH,Central,2022-01-10,2022-01-24,Road,Immediate,553.98,274,274,855,134,16,10,151790.52,136611.47,In Stock,9,13,14
ORD-000046,SKU-08099,Product_Alpha_48,Furniture,Supplier_K,Mumbai WH,East,2022-01-10,2022-02-06,Road,Immediate,1250.21,337,337,614,185,28,5,421320.77,400254.73,In Stock,3,7,27
ORD-000047,SKU-01775,Product_Gamma_32,Furniture,Supplier_K,Bangalore WH,Central,2022-01-10,2022-02-03,Air,Net 30,1591.54,358,358,106,86,12,0,569771.32,569771.32,Discontinued,9,1,24
ORD-000048,SKU-09226,Product_Alpha_31,Apparel,Supplier_D,Chennai WH,West,2022-01-10,2022-01-23,Air,Immediate,4046.04,237,237,990,89,44,5,958911.48,910965.91,In Stock,9,5,13
ORD-000049,SKU-04152,Product_Alpha_16,FMCG,Supplier_D,Delhi WH,West,2022-01-10,2022-01-26,Air,Net 60,4378.69,215,215,528,71,32,15,941418.35,800205.6,In Stock,2,4,16
ORD-000050,SKU-02585,Product_Gamma_1,Pharmaceuticals,Supplier_C,Bangalore WH,West,2022-01-11,2022-01-12,Road,Net 30,1519.31,366,340,536,146,29,20,556067.46,444853.97,In Stock,5,9,1
ORD-000051,SKU-04943,Product_Gamma_41,Industrial Parts,Supplier_C,Delhi WH,North,2022-01-11,2022-01-24,Sea,Net 60,4294.9,286,286,575,186,27,10,1228341.4,1105507.26,Reorder Pending,1,1,13
ORD-000052,SKU-08555,Product_Alpha_20,Industrial Parts,Supplier_C,Mumbai WH,South,2022-01-12,2022-02-03,Rail,Immediate,4287.58,378,378,968,173,26,10,1620705.24,1458634.72,In Stock,3,10,22
ORD-000053,SKU-04073,Product_Beta_30,Apparel,Supplier_K,Bangalore WH,North,2022-01-12,2022-01-26,Sea,Immediate,3825.61,149,149,853,84,3,0,570015.89,570015.89,In Stock,7,12,14
ORD-000054,SKU-02021,Product_Gamma_38,Apparel,Supplier_L,Hyderabad WH,East,2022-01-12,2022-01-18,Rail,Net 60,742.01,318,318,886,99,26,15,235959.18,200565.3,Discontinued,1,6,6
ORD-000055,SKU-04843,Product_Beta_7,Electronics,Supplier_H,Mumbai WH,North,2022-01-13,2022-01-25,Sea,Immediate,3454.71,394,394,748,195,39,20,1361155.74,1088924.59,In Stock,8,3,12
ORD-000056,SKU-08989,Product_Beta_32,Apparel,Supplier_D,Delhi WH,Central,2022-01-13,2022-01-20,Rail,Net 30,4725.67,376,376,687,132,1,5,1776851.92,1688009.32,In Stock,1,5,7
ORD-000057,SKU-07873,Product_Delta_5,Pharmaceuticals,Supplier_L,Hyderabad WH,South,2022-01-13,2022-02-12,Road,Net 15,3415.88,107,107,290,130,35,10,365499.16,328949.24,In Stock,7,4,30
ORD-000058,SKU-06675,Product_Delta_28,Furniture,Supplier_J,Bangalore WH,East,2022-01-13,2022-01-19,Sea,Immediate,1664.77,141,141,804,72,27,5,234732.57,222995.94,In Stock,7,3,6
ORD-000059,SKU-01161,Product_Omega_48,Electronics,Supplier_D,Hyderabad WH,West,2022-01-13,2022-01-22,Rail,Immediate,2507.89,76,76,310,156,4,0,190599.64,190599.64,In Stock,6,12,9
ORD-000060,SKU-05297,Product_Zeta_21,Electronics,Supplier_I,Mumbai WH,West,2022-01-13,2022-01-22,Sea,Net 30,3232.17,9,9,912,152,19,15,29089.53,24726.1,In Stock,9,1,9
ORD-000061,SKU-01995,Product_Beta_44,Electronics,Supplier_J,Delhi WH,East,2022-01-13,2022-01-28,Rail,Net 60,2557.75,196,196,667,135,22,5,501319.0,476253.05,In Stock,5,12,15
ORD-000062,SKU-08629,Product_Gamma_21,FMCG,Supplier_J,Bangalore WH,East,2022-01-15,2022-02-13,Rail,Net 60,608.57,295,295,384,91,6,5,179528.15,170551.74,In Stock,0,12,29
ORD-000063,SKU-02016,Product_Delta_49,Apparel,Supplier_C,Mumbai WH,North,2022-01-15,2022-01-20,Road,Net 60,1567.2,280,280,52,40,9,10,438816.0,394934.4,In Stock,1,6,5
ORD-000064,SKU-08869,Product_Alpha_38,Pharmaceuticals,Supplier_A,Hyderabad WH,Central,2022-01-15,2022-01-17,Rail,Net 30,4013.96,381,381,584,122,11,15,1529318.76,1299920.95,In Stock,6,4,2
ORD-000065,SKU-07439,Product_Gamma_22,Electronics,Supplier_E,Hyderabad WH,South,2022-01-15,2022-02-04,Road,Net 15,4308.48,118,118,182,126,22,10,508400.64,457560.58,In Stock,3,12,20
ORD-000066,SKU-08892,Product_Beta_8,Industrial Parts,Supplier_F,Kolkata WH,South,2022-01-15,2022-02-04,Sea,Net 30,695.13,290,290,368,82,9,0,201587.7,201587.7,Discontinued,8,2,20
ORD-000067,SKU-07863,Product_Sigma_10,Pharmaceuticals,Supplier_H,Mumbai WH,West,2022-01-16,2022-02-05,Rail,Net 60,4762.41,487,487,700,167,29,5,2319293.67,2203328.99,In Stock,2,5,20
ORD-000068,SKU-08916,Product_Zeta_11,FMCG,Supplier_L,Hyderabad WH,Central,2022-01-16,2022-01-24,Road,Immediate,1650.82,61,61,12,192,43,20,100700.02,80560.02,Low Stock,3,7,8
ORD-000069,SKU-09529,Product_Omega_36,Furniture,Supplier_L,Delhi WH,Central,2022-01-16,2022-02-06,Air,Immediate,3314.95,425,425,558,169,10,5,1408853.75,1338411.06,In Stock,2,10,21
ORD-000070,SKU-01878,Product_Gamma_29,Apparel,Supplier_D,Mumbai WH,North,2022-01-16,2022-01-26,Rail,Net 30,3761.61,389,353,959,96,34,20,1463266.29,1170613.03,Discontinued,6,9,10
ORD-000071,SKU-05887,Product_Delta_38,Apparel,Supplier_F,Mumbai WH,North,2022-01-17,2022-02-02,Air,Immediate,4061.61,335,427,159,94,31,15,1360639.35,1156543.45,In Stock,1,9,16
ORD-000072,SKU-05859,Product_Alpha_9,Pharmaceuticals,Supplier_D,Chennai WH,North,2022-01-17,2022-01-31,Sea,Net 60,4729.29,306,306,283,177,22,10,1447162.74,1302446.47,In Stock,9,11,14
ORD-000073,SKU-07331,Product_Beta_41,Apparel,Supplier_C,Delhi WH,South,2022-01-17,2022-02-15,Rail,Net 30,1571.47,388,388,564,82,4,0,609730.36,609730.36,In Stock,1,1,29
ORD-000074,SKU-09571,Product_Zeta_50,Apparel,Supplier_D,Delhi WH,Central,2022-01-17,2022-02-04,Air,Net 30,4293.95,51,51,286,191,2,0,218991.45,218991.45,In Stock,1,10,18
ORD-000075,SKU-09684,Product_Gamma_2,Electronics,Supplier_G,Delhi WH,South,2022-01-17,2022-02-02,Rail,Net 30,667.12,52,52,7,86,5,10,34690.24,31221.22,Low Stock,3,9,16
ORD-000076,SKU-08208,Product_Kappa_6,FMCG,Supplier_G,Delhi WH,West,2022-01-17,2022-01-19,Road,Net 15,3528.15,122,122,71,55,15,5,430434.3,408912.58,In Stock,7,11,2
ORD-000077,SKU-06276,Product_Alpha_1,Apparel,Supplier_B,Bangalore WH,South,2022-01-17,2022-01-20,Sea,Net 15,3712.47,167,167,891,153,19,10,619982.49,557984.24,In Stock,7,3,3
ORD-000078,SKU-03062,Product_Gamma_6,FMCG,Supplier_I,Bangalore WH,North,2022-01-17,2022-01-26,Rail,Net 30,3391.84,8,8,97,56,38,10,27134.72,24421.25,In Stock,7,2,9
ORD-000079,SKU-01064,Product_Sigma_27,Pharmaceuticals,Supplier_F,Delhi WH,North,2022-01-18,2022-01-31,Air,Net 60,1269.05,369,369,86,112,15,0,468279.45,468279.45,Low Stock,7,6,13
ORD-000080,SKU-09006,Product_Kappa_45,Electronics,Supplier_A,Kolkata WH,East,2022-01-18,2022-01-23,Rail,Net 60,4366.49,45,45,841,94,8,10,196492.05,176842.84,Reorder Pending,6,9,5
ORD-000081,SKU-03568,Product_Gamma_14,Pharmaceuticals,Supplier_H,Kolkata WH,North,2022-01-18,2022-02-01,Air,Immediate,852.6,344,344,100,185,20,5,293294.4,278629.68,Low Stock,5,7,14
ORD-000082,SKU-06463,Product_Gamma_41,Pharmaceuticals,Supplier_G,Kolkata WH,South,2022-01-18,2022-01-25,Road,Net 60,277.64,245,245,280,134,12,0,68021.8,68021.8,In Stock,6,7,7
ORD-000083,SKU-03027,Product_Sigma_34,Electronics,Supplier_B,Chennai WH,South,2022-01-18,2022-02-08,Road,Net 60,3590.15,284,284,882,172,4,5,1019602.6,968622.47,In Stock,4,13,21
ORD-000084,SKU-03695,Product_Kappa_27,Industrial Parts,Supplier_A,Chennai WH,East,2022-01-19,2022-02-17,Sea,Net 15,2382.62,375,375,288,96,38,15,893482.5,759460.12,Reorder Pending,7,3,29
ORD-000085,SKU-06258,Product_Delta_12,Apparel,Supplier_I,Mumbai WH,West,2022-01-20,2022-02-15,Road,Net 15,4247.0,107,107,748,180,43,0,454429.0,454429.0,In Stock,1,14,26
ORD-000086,SKU-06618,Product_Alpha_39,Apparel,Supplier_H,Hyderabad WH,North,2022-01-20,2022-02-06,Sea,Net 60,1923.15,27,128,195,32,39,0,51925.05,51925.05,In Stock,4,14,17
ORD-000087,SKU-07736,Product_Gamma_46,Electronics,Supplier_A,Kolkata WH,North,2022-01-20,2022-01-28,Sea,Net 15,849.71,193,486,390,57,36,0,163994.03,163994.03,In Stock,6,9,8
ORD-000088,SKU-01391,Product_Kappa_40,Industrial Parts,Supplier_I,Kolkata WH,Central,2022-01-20,2022-02-10,Sea,Net 15,4183.85,418,418,608,167,15,0,1748849.3,1748849.3,In Stock,8,1,21
ORD-000089,SKU-06892,Product_Beta_41,Apparel,Supplier_C,Delhi WH,East,2022-01-20,2022-02-15,Sea,Immediate,2749.06,337,337,449,36,1,5,926433.22,880111.56,In Stock,9,5,26
ORD-000090,SKU-04561,Product_Sigma_23,Apparel,Supplier_G,Bangalore WH,South,2022-01-21,2022-02-08,Sea,Immediate,954.09,357,357,367,142,31,0,340610.13,340610.13,In Stock,0,14,18
ORD-000091,SKU-07184,Product_Zeta_1,Apparel,Supplier_J,Kolkata WH,South,2022-01-21,2022-02-16,Air,Immediate,3604.72,62,62,429,133,9,15,223492.64,189968.74,Reorder Pending,8,2,26
ORD-000092,SKU-04099,Product_Delta_13,Pharmaceuticals,Supplier_H,Kolkata WH,North,2022-01-21,2022-01-22,Sea,Net 15,2560.46,62,62,95,171,23,0,158748.52,158748.52,Low Stock,2,7,1
ORD-000093,SKU-07278,Product_Beta_34,FMCG,Supplier_B,Kolkata WH,North,2022-01-22,2022-02-04,Air,Net 15,3025.52,422,279,260,45,26,5,1276769.44,1212930.97,In Stock,0,2,13
ORD-000094,SKU-09392,Product_Beta_40,Pharmaceuticals,Supplier_I,Mumbai WH,South,2022-01-22,2022-02-17,Rail,Net 30,2309.88,282,282,511,187,40,0,651386.16,651386.16,In Stock,6,1,26
ORD-000095,SKU-04104,Product_Omega_49,FMCG,Supplier_C,Delhi WH,Central,2022-01-22,2022-02-14,Rail,Net 15,4145.26,121,121,120,51,44,20,501576.46,401261.17,In Stock,2,12,23
ORD-000096,SKU-08215,Product_Delta_30,Industrial Parts,Supplier_D,Bangalore WH,Central,2022-01-22,2022-02-03,Sea,Net 60,4149.52,280,280,365,184,39,5,1161865.6,1103772.32,In Stock,7,12,12
ORD-000097,SKU-03454,Product_Delta_18,Apparel,Supplier_G,Kolkata WH,South,2022-01-23,2022-02-08,Air,Net 15,3549.85,39,39,784,105,18,15,138444.15,117677.53,In Stock,1,8,16
ORD-000098,SKU-09996,Product_Alpha_13,Industrial Parts,Supplier_A,Hyderabad WH,East,2022-01-23,2022-02-10,Sea,Immediate,535.95,380,380,331,117,33,10,203661.0,183294.9,In Stock,3,8,18
ORD-000099,SKU-03731,Product_Beta_10,Apparel,Supplier_B,Delhi WH,South,2022-01-24,2022-02-19,Rail,Net 15,4195.88,277,277,51,110,41,10,1162258.76,1046032.88,Low Stock,1,8,26
ORD-000100,SKU-09154,Product_Kappa_32,Furniture,Supplier_A,Mumbai WH,South,2022-01-24,2022-02-09,Air,Net 60,3358.35,94,94,395,140,39,15,315684.9,268332.17,Discontinued,3,2,16
ORD-000101,SKU-06056,Product_Gamma_11,Electronics,Supplier_H,Bangalore WH,North,2022-01-24,2022-02-05,Rail,Immediate,3488.15,431,431,317,76,14,0,1503392.65,1503392.65,In Stock,0,1,12
ORD-000102,SKU-09110,Product_Alpha_4,Furniture,Supplier_B,Delhi WH,Central,2022-01-25,2022-02-24,Rail,Immediate,1821.28,115,115,674,126,1,10,209447.2,188502.48,In Stock,9,13,30
ORD-000103,SKU-04840,Product_Omega_19,Apparel,Supplier_C,Delhi WH,South,2022-01-25,2022-02-13,Sea,Immediate,4397.6,176,176,701,41,13,0,773977.6,773977.6,In Stock,4,13,19
ORD-000104,SKU-02028,Product_Delta_28,Apparel,Supplier_G,Mumbai WH,North,2022-01-26,2022-02-12,Air,Net 30,3629.6,121,121,276,131,15,10,439181.6,395263.44,In Stock,2,3,17
ORD-000105,SKU-08385,Product_Sigma_22,Furniture,Supplier_B,Hyderabad WH,West,2022-01-26,2022-02-06,Rail,Immediate,571.83,13,13,596,104,37,20,7433.79,5947.03,In Stock,8,1,11
ORD-000106,SKU-01502,Product_Kappa_3,Pharmaceuticals,Supplier_F,Hyderabad WH,Central,2022-01-26,2022-02-08,Rail,Net 15,2044.81,485,485,193,99,5,20,991732.85,793386.28,In Stock,3,7,13
ORD-000107,SKU-07910,Product_Beta_48,Electronics,Supplier_K,Chennai WH,North,2022-01-26,2022-02-04,Air,Net 30,4433.04,387,149,692,92,14,0,1715586.48,1715586.48,Discontinued,5,9,9
ORD-000108,SKU-07938,Product_Alpha_35,Electronics,Supplier_I,Bangalore WH,West,2022-01-26,2022-02-01,Air,Net 60,245.51,416,416,20,96,14,0,102132.16,102132.16,Low Stock,8,0,6
ORD-000109,SKU-05488,Product_Gamma_11,Industrial Parts,Supplier_D,Mumbai WH,South,2022-01-27,2022-01-28,Road,Net 15,4807.47,163,163,398,93,5,0,783617.61,783617.61,In Stock,1,1,1
ORD-000110,SKU-01206,Product_Alpha_32,Apparel,Supplier_I,Kolkata WH,West,2022-01-27,2022-02-07,Rail,Net 15,3399.02,275,292,714,146,11,0,934730.5,934730.5,In Stock,6,5,11
ORD-000111,SKU-06134,Product_Beta_5,Electronics,Supplier_K,Hyderabad WH,North,2022-01-27,2022-02-16,Sea,Net 15,3160.57,398,398,201,196,32,0,1257906.86,1257906.86,In Stock,2,8,20
ORD-000112,SKU-06977,Product_Delta_47,FMCG,Supplier_I,Chennai WH,South,2022-01-27,2022-02-04,Road,Net 30,1360.09,176,69,465,140,5,0,239375.84,239375.84,In Stock,0,9,8
ORD-000113,SKU-08721,Product_Kappa_38,Industrial Parts,Supplier_K,Mumbai WH,Central,2022-01-27,2022-01-28,Rail,Immediate,1251.47,470,470,150,104,36,20,588190.9,470552.72,In Stock,8,11,1
ORD-000114,SKU-08035,Product_Omega_27,Pharmaceuticals,Supplier_C,Delhi WH,Central,2022-01-27,2022-02-25,Air,Net 60,4710.87,337,337,895,196,15,5,1587563.19,1508185.03,In Stock,8,4,29
ORD-000115,SKU-02484,Product_Delta_48,Industrial Parts,Supplier_L,Hyderabad WH,North,2022-01-27,2022-02-22,Rail,Net 60,1498.38,379,379,158,189,7,10,567886.02,511097.42,Discontinued,3,4,26
ORD-000116,SKU-08858,Product_Omega_15,Furniture,Supplier_B,Hyderabad WH,West,2022-01-28,2022-02-22,Sea,Net 60,3879.77,324,324,309,187,5,5,1257045.48,1194193.21,In Stock,8,2,25
ORD-000117,SKU-01863,Product_Beta_21,Industrial Parts,Supplier_H,Hyderabad WH,South,2022-01-28,2022-02-06,Rail,Immediate,1971.68,173,173,950,193,30,10,341100.64,306990.58,In Stock,6,7,9
ORD-000118,SKU-03790,Product_Delta_7,Pharmaceuticals,Supplier_K,Chennai WH,West,2022-01-28,2022-01-30,Rail,Net 60,704.88,488,488,503,169,15,20,343981.44,275185.15,In Stock,3,11,2
ORD-000119,SKU-08408,Product_Delta_48,Pharmaceuticals,Supplier_K,Kolkata WH,Central,2022-01-28,2022-02-23,Rail,Net 15,63.47,275,275,25,101,30,5,17454.25,16581.54,Low Stock,1,5,26
ORD-000120,SKU-09755,Product_Zeta_13,Furniture,Supplier_G,Bangalore WH,North,2022-01-28,2022-02-13,Air,Net 30,2725.84,64,64,820,40,14,0,174453.76,174453.76,In Stock,4,9,16
ORD-000121,SKU-06116,Product_Zeta_15,Industrial Parts,Supplier_L,Kolkata WH,West,2022-01-28,2022-02-14,Sea,Net 60,4879.14,101,101,65,198,24,5,492793.14,468153.48,Low Stock,7,11,17
ORD-000122,SKU-07019,Product_Beta_31,Pharmaceuticals,Supplier_E,Chennai WH,Central,2022-01-28,2022-02-09,Road,Net 30,1851.99,322,322,934,161,24,20,596340.78,477072.62,In Stock,9,1,12
ORD-000123,SKU-02757,Product_Kappa_4,Industrial Parts,Supplier_I,Bangalore WH,Central,2022-01-29,2022-02-23,Road,Immediate,1792.39,463,463,262,93,35,0,829876.57,829876.57,In Stock,9,11,25
ORD-000124,SKU-08574,Product_Zeta_10,Furniture,Supplier_E,Mumbai WH,East,2022-01-29,2022-02-17,Rail,Net 30,1727.02,66,66,471,28,5,5,113983.32,108284.15,In Stock,5,11,19
ORD-000125,SKU-07374,Product_Delta_40,Pharmaceuticals,Supplier_G,Kolkata WH,West,2022-01-30,2022-02-07,Rail,Net 30,2607.51,331,331,166,165,12,0,863085.81,863085.81,Discontinued,4,4,8
ORD-000126,SKU-07892,Product_Kappa_12,FMCG,Supplier_H,Kolkata WH,West,2022-01-30,2022-02-05,Road,Net 60,2208.92,45,45,799,32,20,0,99401.4,99401.4,In Stock,3,3,6
