TransactionID,CustomerID,TransactionDate,TransactionTime,TransactionType,MerchantCategory,Amount(INR),CardType,IsInternational,CustomerAge,AccountAgeDays,PreviousTransactions,DailyTransactionCount,TransactionHour,DistanceFromHome(km),Bank,DeviceUsed,FailedAttemptsLast24h,IsNewDevice,TimeSinceLastTransaction(min),IsFraud
TXN100017,CUST3147,2021-07-19,00:42:47,ATM Withdrawal,Groceries,2266.0,Mastercard,0,50,1242,63,6,0,120.0,HSBC,Tablet,0,0,1014,0
TXN100018,CUST9811,2024-04-02,10:37:28,POS Terminal,Fuel,25180.41,Mastercard,0,20,45,399,19,10,148.3,ICICI,POS Machine,2,0,996,1
TXN100019,CUST9189,2023-08-12,12:36:40,Bank Transfer,Luxury,11146.12,Visa,0,34,3037,401,15,12,396.5,Kotak,Mobile App,3,0,683,1
TXN100020,CUST5846,2022-09-07,04:31:49,Contactless Payment,Entertainment,60798.93,Mastercard,1,51,1538,5,7,4,421.4,HDFC,ATM,0,0,848,1
TXN100021,CUST8994,2023-07-21,00:40:23,ATM Withdrawal,Clothing,22528.74,Amex,0,55,945,225,8,0,9.9,Citibank,,1,0,454,0
TXN100022,CUST6379,2023-04-02,14:11:12,ATM Withdrawal,Electronics,4643.29,Discover,0,25,712,274,4,14,314.3,ICICI,Web Browser,0,0,1435,0
TXN100023,CUST9526,2021-07-10,10:51:58,Contactless Payment,Clothing,18706.23,Amex,0,75,1685,395,19,10,241.1,HDFC,Tablet,0,0,527,0
TXN100024,CUST7378,2023-01-04,09:37:05,Bank Transfer,Clothing,53181.11,Mastercard,0,25,1134,339,15,9,453.3,ICICI,ATM,0,0,871,0
TXN100025,CUST6408,2024-03-25,00:27:32,ATM Withdrawal,Fuel,12002.07,Visa,0,39,83,342,8,0,425.1,Axis,Web Browser,4,0,727,1
TXN100026,CUST6382,2023-11-05,09:43:48,Contactless Payment,Groceries,995.45,Visa,0,42,3393,500,6,9,360.8,Axis,ATM,0,0,547,0
TXN100027,CUST7176,2022-08-21,22:42:32,ATM Withdrawal,Fuel,13138.06,Amex,1,51,1612,25,5,22,356.6,Barclays,ATM,1,0,228,0
TXN100028,CUST5773,2024-07-24,17:07:17,POS Terminal,Electronics,36075.86,Amex,0,38,3640,360,9,17,423.1,Kotak,,0,0,1291,0
TXN100029,CUST3734,2023-12-07,16:01:02,Online Purchase,Fuel,7874.59,RuPay,0,26,3499,166,20,16,358.6,Yes Bank,Tablet,1,0,356,0
TXN100030,CUST1672,2022-05-11,07:19:52,Bank Transfer,Restaurant,25414.65,Visa,0,62,3243,94,6,7,359.7,Yes Bank,POS Machine,0,0,780,0
TXN100031,CUST2975,2021-12-25,00:19:33,ATM Withdrawal,Electronics,43446.16,Visa,0,41,2512,443,13,0,394.0,Citibank,Mobile App,0,0,1159,1
TXN100032,CUST6136,2023-06-13,17:47:07,POS Terminal,Jewellery,11568.23,Discover,0,74,1014,236,11,17,236.3,HDFC,Mobile App,0,0,1130,0
TXN100033,CUST5327,2022-11-06,17:33:57,ATM Withdrawal,Groceries,10560.8,Mastercard,0,52,1137,128,17,17,128.5,Kotak,,2,0,1288,0
TXN100034,CUST9294,2022-11-14,22:26:43,Contactless Payment,Pharmacy,4875.8,RuPay,0,18,2943,150,13,22,208.9,Yes Bank,Web Browser,2,0,534,0
TXN100035,CUST6587,2024-09-02,08:43:10,ATM Withdrawal,Fuel,74216.23,Visa,0,55,737,162,20,8,263.2,PNB,Web Browser,3,0,70,0
TXN100036,CUST1686,2022-03-06,18:24:41,Contactless Payment,Entertainment,23240.86,Mastercard,0,61,2773,105,17,18,414.5,Barclays,POS Machine,0,1,82,1
TXN100037,CUST7586,2021-09-19,08:09:22,Mobile Payment,Entertainment,15787.7,Visa,0,44,2717,232,16,8,380.8,PNB,Mobile App,2,1,843,1
TXN100038,CUST7990,2022-12-25,13:24:57,POS Terminal,Restaurant,14421.04,RuPay,1,36,2833,229,1,13,480.8,PNB,ATM,0,0,1361,0
TXN100039,CUST9617,2023-02-26,04:11:34,Contactless Payment,Groceries,1461.4,Mastercard,0,50,1667,252,4,4,451.8,PNB,POS Machine,1,0,1266,0
TXN100040,CUST4376,2021-03-21,23:12:03,POS Terminal,Luxury,66028.83,Amex,0,43,1182,430,3,23,413.1,Yes Bank,Web Browser,3,1,75,1
TXN100041,CUST8827,2023-01-01,17:57:08,Online Purchase,Entertainment,15871.42,Discover,0,63,1930,364,3,17,290.3,Yes Bank,POS Machine,0,0,104,0
TXN100042,CUST5321,2022-07-20,16:14:50,Online Purchase,Groceries,16130.23,RuPay,1,40,1589,243,16,16,392.0,Barclays,Mobile App,,0,1298,0
TXN100043,CUST7471,2022-01-17,00:30:16,Online Purchase,Fuel,1964.4,Mastercard,0,60,2387,115,16,0,460.9,Kotak,Mobile App,1,0,750,0
TXN100044,CUST7320,2023-04-28,19:11:55,POS Terminal,Jewellery,32613.84,Visa,0,58,2250,296,14,19,110.2,Kotak,Web Browser,0,0,1129,1
TXN100045,CUST9601,2022-09-14,13:43:41,ATM Withdrawal,Fuel,39718.22,Discover,0,,517,485,18,13,489.4,HSBC,Tablet,0,0,256,0
TXN100046,CUST6642,2024-03-23,13:22:44,Bank Transfer,Restaurant,5815.53,Discover,1,64,2541,252,20,13,39.7,ICICI,Tablet,0,0,308,0
TXN100047,CUST2322,2022-07-10,18:39:52,ATM Withdrawal,Jewellery,50621.39,Visa,0,52,3292,166,20,18,318.3,PNB,ATM,0,0,796,1
TXN100048,CUST8049,2021-10-22,12:10:39,ATM Withdrawal,Groceries,19875.0,Amex,0,75,2810,252,14,12,306.2,HDFC,Tablet,0,0,1210,0
TXN100049,CUST4228,2023-10-21,16:06:19,ATM Withdrawal,Pharmacy,5059.2,RuPay,0,34,3170,287,18,16,226.0,Barclays,Mobile App,0,0,889,0
TXN100050,CUST9780,2023-07-23,20:34:58,Online Purchase,Luxury,4976.15,Visa,0,,1768,449,4,20,426.9,Kotak,Web Browser,0,1,313,0
TXN100051,CUST7430,2021-03-12,01:12:09,Contactless Payment,Fuel,80879.99,Mastercard,1,50,518,133,15,1,282.3,Citibank,Tablet,0,0,740,1
TXN100052,CUST4775,2024-06-06,15:18:04,POS Terminal,Fuel,4735.21,Amex,0,19,2709,445,9,15,396.4,ICICI,POS Machine,0,0,788,0
TXN100053,CUST8287,2024-06-24,14:07:58,Mobile Payment,Travel,7049.41,Discover,0,61,2665,360,4,14,32.8,SBI,ATM,0,1,692,0
TXN100054,CUST3044,2022-05-26,19:51:28,Online Purchase,Clothing,54857.33,Discover,0,71,1042,264,17,19,435.4,Citibank,Web Browser,2,0,276,1
TXN100055,CUST4019,2024-09-16,00:48:35,Online Purchase,Restaurant,5946.51,Amex,0,40,696,184,15,0,114.3,Yes Bank,Mobile App,0,1,1210,0
TXN100056,CUST1146,2022-05-23,08:18:21,Mobile Payment,Jewellery,11407.83,Mastercard,0,60,1629,370,17,8,0.2,Axis,Tablet,0,0,1423,0
TXN100057,CUST8425,2024-12-10,12:14:05,Online Purchase,Restaurant,1501.91,Visa,1,22,165,249,15,12,327.5,HDFC,Web Browser,3,1,818,0
TXN100058,CUST2487,2022-08-12,07:14:45,Online Purchase,Electronics,1324.91,Visa,0,43,109,483,8,7,162.4,Barclays,Web Browser,1,0,,0
TXN100059,CUST2878,2024-08-03,02:38:31,Online Purchase,Entertainment,329062.39,Visa,1,25,953,309,5,2,457.4,Kotak,Web Browser,1,1,,1
TXN100060,CUST8768,2024-09-07,21:54:41,Mobile Payment,Luxury,272643.05,Discover,0,48,1435,324,19,21,276.5,PNB,ATM,2,1,300,1
TXN100061,CUST2958,2021-09-13,07:40:18,Bank Transfer,Entertainment,16067.04,RuPay,0,23,792,421,13,7,11.2,Yes Bank,Tablet,2,0,1281,0
TXN100062,CUST5990,2021-07-27,07:22:21,Online Purchase,Restaurant,4307.79,Visa,0,47,2555,182,3,7,58.4,ICICI,Mobile App,2,0,731,0
TXN100063,CUST7139,2021-12-05,15:41:03,Contactless Payment,Entertainment,29198.36,Visa,1,36,332,381,2,15,249.0,ICICI,Tablet,0,0,322,0
TXN100064,CUST5382,2021-01-03,16:56:00,Online Purchase,Pharmacy,1932.46,RuPay,1,28,1772,393,20,16,77.3,Citibank,Tablet,0,0,959,0
TXN100065,CUST3384,2024-11-19,13:43:07,Online Purchase,Groceries,262.01,Mastercard,0,40,578,379,2,13,321.0,Kotak,Mobile App,2,0,780,0
TXN100066,CUST6271,2021-10-04,05:40:37,POS Terminal,Electronics,83024.42,Discover,1,68,513,192,20,5,302.3,ICICI,Mobile App,,0,869,1
TXN100067,CUST4581,2021-03-06,10:26:50,ATM Withdrawal,Entertainment,18887.29,Mastercard,1,46,1107,196,12,10,66.1,PNB,Web Browser,0,1,727,0
TXN100068,CUST6595,2022-04-18,23:52:38,ATM Withdrawal,Groceries,52068.63,RuPay,1,74,1999,334,8,23,335.1,Axis,Mobile App,3,0,897,0
TXN100069,CUST4422,2024-07-08,10:25:02,ATM Withdrawal,Jewellery,20302.58,Visa,0,55,2534,103,10,10,366.2,PNB,POS Machine,1,1,1216,0
TXN100070,CUST7703,2021-11-28,00:34:36,ATM Withdrawal,Jewellery,12278.08,RuPay,0,72,2393,138,4,0,457.4,ICICI,POS Machine,0,0,,0
TXN100071,CUST5826,2023-01-16,15:03:36,ATM Withdrawal,Electronics,2287.97,Visa,0,45,686,176,13,15,132.6,Citibank,Tablet,1,0,1125,0
TXN100072,CUST7532,2023-01-04,05:00:17,ATM Withdrawal,Clothing,6936.92,Mastercard,0,36,1412,86,13,5,497.7,Yes Bank,ATM,1,0,1424,0
TXN100073,CUST3462,2023-10-27,06:19:39,Online Purchase,Entertainment,1963.1,RuPay,1,37,1695,249,19,6,188.4,,Mobile App,0,0,589,0
TXN100074,CUST8662,2023-10-08,20:04:48,Bank Transfer,Jewellery,5205.15,Mastercard,0,66,2105,112,4,20,34.8,HSBC,ATM,0,0,1297,0
TXN100075,CUST7983,2024-03-12,16:07:23,Online Purchase,Jewellery,42966.06,Discover,1,72,1837,138,1,16,144.1,Axis,Web Browser,1,1,1425,1
TXN100076,CUST5411,2023-04-11,10:09:08,Bank Transfer,Groceries,12734.16,Amex,1,62,3029,380,4,10,201.4,SBI,POS Machine,1,0,929,0
TXN100077,CUST7073,2023-12-25,18:20:20,Contactless Payment,Electronics,3523.74,Visa,0,22,1991,150,7,18,105.6,SBI,ATM,0,0,1107,0
TXN100078,CUST5464,2021-04-16,10:57:14,Contactless Payment,Fuel,184126.06,RuPay,0,51,1525,186,9,10,347.8,PNB,ATM,2,0,578,0
TXN100079,CUST8106,2021-07-14,18:20:16,Contactless Payment,Entertainment,750.0,Discover,0,71,177,474,18,18,53.6,Barclays,ATM,3,0,228,0
TXN100080,CUST2406,2023-07-08,11:17:56,Mobile Payment,Electronics,77398.05,RuPay,0,54,1871,205,4,11,292.9,HSBC,POS Machine,0,0,,1
TXN100081,CUST7253,2021-11-28,05:43:54,POS Terminal,Groceries,3292.16,Visa,1,65,1845,308,5,5,126.2,Kotak,POS Machine,0,0,992,0
TXN100082,CUST1755,2024-10-18,00:01:44,Mobile Payment,Pharmacy,3124.06,RuPay,1,66,3570,192,3,0,389.6,Barclays,Web Browser,0,0,,0
TXN100083,CUST3443,2021-05-19,08:12:31,Contactless Payment,Entertainment,14914.33,Discover,0,54,787,78,13,8,40.6,ICICI,Mobile App,0,0,256,0
TXN100084,CUST5036,2021-12-25,10:46:26,Mobile Payment,Entertainment,19892.36,Discover,0,26,1923,439,12,10,50.8,HDFC,Tablet,1,0,66,0
TXN100085,CUST8483,2022-08-25,03:48:52,POS Terminal,Groceries,18382.62,RuPay,0,58,2944,425,8,3,75.7,Barclays,POS Machine,0,0,465,0
TXN100086,CUST7630,2024-10-18,17:47:01,Contactless Payment,Clothing,2900.38,Visa,0,58,2536,164,3,17,337.5,Axis,Web Browser,3,0,1065,0
TXN100087,CUST8607,2023-07-09,00:19:21,POS Terminal,Pharmacy,13796.64,Discover,0,20,1156,454,15,0,179.0,HSBC,ATM,0,1,187,1
TXN100088,CUST6310,2021-09-12,03:08:09,Contactless Payment,Entertainment,16359.11,RuPay,1,37,2050,73,20,3,235.7,HSBC,ATM,0,0,1212,1
TXN100089,CUST9246,2023-05-22,15:05:32,Online Purchase,Groceries,12006.89,Discover,0,69,1551,110,3,15,169.2,Yes Bank,Tablet,0,1,1138,0
TXN100090,CUST1672,2024-01-03,10:34:22,ATM Withdrawal,Groceries,16959.08,Discover,0,19,2186,191,15,10,355.9,HSBC,Web Browser,2,0,314,1
TXN100091,CUST5450,2021-04-01,03:09:13,Contactless Payment,Restaurant,16014.31,Discover,1,70,633,70,3,3,448.3,Axis,Web Browser,1,1,169,1
TXN100092,CUST9281,2023-05-17,20:59:02,POS Terminal,Clothing,4421.19,Mastercard,0,68,2641,470,4,20,491.8,Barclays,Mobile App,0,0,1353,0
TXN100093,CUST5819,2022-12-04,15:04:33,Bank Transfer,Groceries,23056.19,RuPay,1,31,2359,376,17,15,359.4,SBI,POS Machine,0,0,1239,1
TXN100094,CUST6282,2023-02-18,16:22:38,Mobile Payment,Fuel,2422.78,RuPay,1,23,347,255,6,16,165.7,Axis,ATM,3,0,433,0
TXN100095,CUST5356,2023-10-26,21:08:03,Online Purchase,Entertainment,1812.56,Amex,1,56,2507,34,14,21,349.4,HSBC,Tablet,1,0,,0
TXN100096,CUST1810,2021-06-20,19:02:02,Online Purchase,Jewellery,30281.96,Amex,0,18,750,46,18,19,161.8,Citibank,Mobile App,0,0,187,0
TXN100097,CUST5938,2024-01-27,10:35:00,POS Terminal,Pharmacy,677.8,Discover,0,67,714,357,19,10,272.7,Citibank,Web Browser,,1,569,0
TXN100098,CUST4297,2024-03-14,21:13:53,Mobile Payment,Entertainment,11584.88,Visa,0,52,2629,13,7,21,6.8,SBI,POS Machine,0,0,555,0
TXN100099,CUST8118,2024-07-18,13:48:30,Bank Transfer,Pharmacy,3083.8,Mastercard,1,73,2627,307,15,13,413.0,HSBC,Tablet,0,0,69,0
TXN100100,CUST1671,2023-10-06,08:55:01,Mobile Payment,Entertainment,3465.53,Discover,0,21,876,405,19,8,189.0,Kotak,POS Machine,1,0,180,0
TXN100101,CUST4212,2021-03-03,01:22:25,Bank Transfer,Fuel,35438.72,Visa,0,72,3592,475,9,1,59.9,Kotak,ATM,1,1,26,1
TXN100102,CUST7251,2021-01-18,21:29:56,Contactless Payment,Jewellery,84725.79,Discover,0,64,1878,496,18,21,231.1,Axis,Web Browser,5,0,,1
TXN100103,CUST6678,2023-04-21,11:10:57,ATM Withdrawal,Entertainment,4109.37,Discover,0,18,1677,442,13,11,286.8,Barclays,ATM,1,1,1213,0
TXN100104,CUST6272,2024-12-13,11:23:49,Mobile Payment,Groceries,2191.17,Visa,0,55,3263,383,7,11,30.2,Yes Bank,Mobile App,1,0,715,0
TXN100105,CUST1736,2024-05-25,23:29:21,Online Purchase,Fuel,1917.25,Discover,0,67,2511,25,18,23,5.5,PNB,POS Machine,0,0,522,0
TXN100106,CUST4128,2024-04-12,00:15:29,Contactless Payment,Jewellery,57200.54,Mastercard,0,63,65,493,2,0,303.7,Yes Bank,Tablet,1,1,601,1
TXN100107,CUST8097,2024-07-11,15:16:49,POS Terminal,Groceries,136911.38,Mastercard,0,55,3530,492,10,15,62.5,Citibank,ATM,3,1,1430,1
TXN100108,CUST5543,2022-09-23,17:30:54,POS Terminal,Clothing,11153.88,Mastercard,0,64,3569,238,4,17,192.6,Yes Bank,Tablet,1,1,549,0
TXN100109,CUST7550,2024-11-06,00:05:07,ATM Withdrawal,Restaurant,5691.91,Amex,0,42,698,331,3,0,90.9,HDFC,Tablet,0,0,718,0
TXN100110,CUST9365,2021-08-11,06:18:06,Mobile Payment,Fuel,15087.13,Amex,0,68,2203,445,20,6,210.2,Kotak,POS Machine,0,0,911,0
TXN100111,CUST4965,2022-03-02,21:05:20,POS Terminal,Luxury,2161.71,RuPay,0,49,1811,230,6,21,277.8,Yes Bank,Web Browser,0,0,163,0
TXN100112,CUST5175,2022-08-26,12:57:49,Online Purchase,Fuel,14679.33,Visa,0,39,1598,469,16,12,288.4,Kotak,Web Browser,1,1,38,1
TXN100113,CUST1609,2023-09-13,10:08:54,Bank Transfer,Electronics,16170.34,Discover,0,42,2620,327,1,10,386.6,HDFC,Web Browser,0,0,1067,0
TXN100114,CUST3252,2021-04-09,02:45:09,Online Purchase,Fuel,33274.0,Discover,1,67,501,424,11,2,143.7,Yes Bank,Mobile App,0,0,19,1
TXN100115,CUST6993,2024-08-26,11:28:44,Contactless Payment,Fuel,20694.54,Discover,1,,50,75,15,11,331.6,Kotak,POS Machine,0,1,953,1
TXN100116,CUST7979,2023-10-25,11:58:37,Contactless Payment,Clothing,15468.11,RuPay,1,42,2791,386,19,11,276.4,ICICI,POS Machine,0,0,227,0
TXN100117,CUST6073,2023-07-13,23:53:38,POS Terminal,Entertainment,6978.58,Discover,0,40,3516,71,4,23,227.7,SBI,ATM,0,0,744,0
TXN100118,CUST3773,2023-01-10,13:57:26,Online Purchase,Luxury,2026.7,Amex,0,50,1255,105,16,13,128.6,Barclays,,0,0,1088,0
TXN100119,CUST4147,2021-09-16,06:51:06,POS Terminal,Luxury,18499.43,Visa,0,62,2763,22,1,6,447.1,HSBC,Web Browser,0,0,989,0
TXN100120,CUST4455,2022-02-12,12:47:07,ATM Withdrawal,Travel,62196.38,Mastercard,0,23,469,160,3,12,363.3,Kotak,Mobile App,0,1,688,0
TXN100121,CUST7537,2024-06-17,23:18:31,POS Terminal,Pharmacy,332161.93,Visa,0,20,1574,250,8,23,279.6,Axis,Tablet,0,0,1090,0
TXN100122,CUST9963,2024-10-02,18:09:05,ATM Withdrawal,Clothing,9053.34,Visa,0,53,1079,286,20,18,470.1,ICICI,ATM,0,0,253,0
TXN100123,CUST9504,2023-09-25,21:47:34,POS Terminal,Restaurant,14428.43,Visa,1,39,1748,400,15,21,49.6,SBI,Web Browser,0,0,1013,0
TXN100124,CUST5003,2023-09-14,05:35:18,Contactless Payment,Electronics,15682.07,RuPay,0,48,1829,447,14,5,326.0,Kotak,ATM,0,0,684,1
TXN100125,CUST9655,2023-02-01,13:10:54,Contactless Payment,Groceries,50009.17,Amex,0,24,2621,215,18,13,309.0,PNB,Tablet,0,0,,0
TXN100126,CUST1725,2021-11-13,20:34:22,Contactless Payment,Electronics,14407.1,Amex,0,63,2162,84,4,20,399.3,Axis,Web Browser,3,1,768,1
TXN100127,CUST1052,2021-11-08,05:10:18,Bank Transfer,Clothing,26713.03,Discover,0,52,984,491,18,5,218.3,SBI,Mobile App,2,1,1427,1
TXN100128,CUST4630,2021-04-03,17:59:17,Online Purchase,Electronics,25870.81,RuPay,0,27,789,441,3,17,439.7,Kotak,Web Browser,0,0,1029,0
TXN100129,CUST7433,2021-11-10,15:36:07,ATM Withdrawal,Restaurant,2249.46,Visa,0,58,2365,55,18,15,112.6,ICICI,ATM,2,1,189,0
TXN100130,CUST5964,2024-05-20,18:37:20,POS Terminal,Jewellery,6961.32,RuPay,0,53,197,403,20,18,131.5,Kotak,ATM,0,0,696,0
TXN100131,CUST7969,2023-01-17,10:20:05,Bank Transfer,Travel,41368.85,Mastercard,1,47,328,295,19,10,493.9,Kotak,ATM,2,0,403,1
TXN100132,CUST4896,2021-01-15,04:49:27,Online Purchase,Pharmacy,16921.77,Amex,0,61,839,328,17,4,244.0,ICICI,POS Machine,1,0,510,0
TXN100133,CUST5016,2024-10-12,20:49:20,Online Purchase,Luxury,46951.33,RuPay,0,30,3095,255,13,20,392.7,Axis,Web Browser,4,0,1298,1
TXN100134,CUST9568,2023-11-28,00:50:51,Bank Transfer,Travel,12834.6,Discover,1,47,2653,406,8,0,225.8,ICICI,Web Browser,2,0,267,0
TXN100135,CUST3783,2021-12-03,10:25:03,Mobile Payment,Electronics,10408.05,Discover,1,62,411,121,5,10,447.3,HDFC,Mobile App,0,1,52,1
TXN100136,CUST8923,2022-10-03,12:43:08,Bank Transfer,Entertainment,905.18,Visa,1,27,1395,352,14,12,209.9,ICICI,Web Browser,0,0,529,0
TXN100137,CUST7696,2024-09-06,00:00:29,Bank Transfer,Jewellery,11967.58,Mastercard,0,35,3128,335,16,0,239.9,PNB,POS Machine,0,1,1025,1
TXN100138,CUST8576,2021-08-14,12:11:06,POS Terminal,Pharmacy,3140.4,RuPay,0,71,1912,56,17,12,291.6,PNB,ATM,2,0,824,0
TXN100139,CUST6771,2023-08-18,16:41:28,Online Purchase,Entertainment,10535.53,RuPay,0,59,49,99,5,16,366.4,Kotak,ATM,,0,662,0
TXN100140,CUST2322,2022-06-28,23:06:02,Bank Transfer,Luxury,19165.28,Amex,0,33,1525,286,2,23,254.2,HSBC,POS Machine,0,1,889,1
TXN100141,CUST4906,2023-04-10,01:12:56,Bank Transfer,Fuel,2740.84,Visa,0,67,3588,17,12,1,132.1,HSBC,Web Browser,0,0,1093,0
TXN100142,CUST1622,2021-12-01,14:39:54,Contactless Payment,Restaurant,8475.09,Mastercard,1,58,1689,256,3,14,39.7,Kotak,Tablet,0,0,1143,0
TXN100143,CUST5117,2021-01-24,22:16:19,Online Purchase,Electronics,47143.5,RuPay,0,51,3085,310,18,22,236.1,Kotak,POS Machine,0,0,671,0
TXN100144,CUST5517,2023-08-26,08:54:18,Mobile Payment,Travel,1056.45,Visa,0,51,2959,283,9,8,165.7,PNB,Mobile App,0,0,716,0
TXN100145,CUST5399,2021-05-01,16:30:22,Bank Transfer,Fuel,78375.6,Amex,0,35,3506,291,14,16,492.6,HSBC,Web Browser,2,0,816,1
TXN100146,CUST2866,2021-11-02,22:47:38,POS Terminal,Travel,11119.97,RuPay,0,66,2398,291,3,22,117.7,Axis,Web Browser,0,1,1415,0
TXN100147,CUST4342,2023-12-26,03:34:15,ATM Withdrawal,Electronics,3952.84,RuPay,0,38,926,237,10,3,96.0,HSBC,Tablet,0,0,275,0
TXN100148,CUST3677,2024-05-16,20:55:02,Contactless Payment,Electronics,8423.37,Visa,0,44,1496,75,1,20,17.3,ICICI,Web Browser,,0,14,0
TXN100149,CUST5499,2022-10-15,22:08:09,Contactless Payment,Travel,13236.0,Amex,1,56,1417,359,10,22,317.5,Kotak,Mobile App,0,0,134,0
TXN100150,CUST2891,2021-10-21,21:02:58,Contactless Payment,Entertainment,27425.9,Mastercard,0,45,3054,39,18,21,204.4,HDFC,ATM,0,0,1072,0
TXN100151,CUST7395,2024-07-19,19:15:51,Contactless Payment,Clothing,18230.45,Discover,0,20,1402,215,8,19,407.8,Barclays,ATM,0,1,1221,1
TXN100152,CUST2581,2022-05-17,20:52:34,Mobile Payment,Entertainment,51363.98,Visa,0,25,192,51,14,20,282.3,HSBC,ATM,2,0,1215,1
TXN100153,CUST8912,2024-12-27,00:20:29,Online Purchase,Fuel,10859.22,Amex,1,48,2054,217,5,0,205.3,SBI,ATM,0,0,984,0
TXN100154,CUST6832,2021-11-08,19:13:05,Contactless Payment,Travel,13275.53,Mastercard,0,41,565,475,8,19,110.6,Barclays,POS Machine,1,0,,0
TXN100155,CUST4606,2022-02-23,03:10:01,POS Terminal,Electronics,52431.93,RuPay,1,55,1916,161,3,3,212.4,SBI,ATM,1,0,19,1
TXN100156,CUST8846,2021-06-17,19:44:22,Mobile Payment,Pharmacy,176967.33,RuPay,0,60,1363,182,1,19,190.4,,Web Browser,0,1,95,0
TXN100157,CUST7850,2023-06-23,20:06:08,Bank Transfer,Jewellery,27288.18,RuPay,0,39,3202,21,2,20,274.2,Barclays,Tablet,3,0,40,1
TXN100158,CUST6722,2024-02-20,01:36:20,Bank Transfer,Fuel,1419.3,Amex,0,64,130,9,20,1,450.5,HDFC,Web Browser,0,0,251,0
TXN100159,CUST2744,2023-07-08,11:01:40,Mobile Payment,Travel,16563.91,Amex,0,22,1540,116,6,11,53.5,HDFC,Web Browser,2,0,1420,0
TXN100160,CUST7852,2023-04-03,20:57:21,POS Terminal,Travel,10813.36,Mastercard,0,73,387,187,7,20,207.8,Citibank,Mobile App,0,1,998,0
TXN100161,CUST3224,2022-11-27,11:25:45,Mobile Payment,Restaurant,6710.5,RuPay,0,31,1737,197,13,11,206.4,SBI,Web Browser,0,0,1233,0
TXN100162,CUST4567,2022-10-07,18:36:45,Mobile Payment,Travel,2047.44,RuPay,0,56,3392,191,10,18,486.9,Axis,Web Browser,1,0,521,0
TXN100163,CUST2313,2024-02-16,09:07:50,Mobile Payment,Clothing,50764.63,RuPay,0,36,1294,26,16,9,392.8,HDFC,Tablet,0,0,1000,1
