study_hours_per_day,attendance_percentage,assignments_completed,sleep_hours,previous_score,internet_access,extracurricular_activities,parental_education_level,distance_from_school_km,tutoring,final_score
6.6,63.5,9,7.7,50.5,0,1,2,9.9,0,46.63
4.0,75.7,5,9.1,50.6,0,0,1,13.7,0,43.31
1.6,69.8,5,5.2,54.8,1,1,2,19.0,0,27.47
3.8,99.3,9,4.8,69.5,1,0,3,4.8,0,69.01
3.9,48.2,10,9.8,47.7,1,1,3,6.1,0,56.85
7.6,81.7,6,4.6,94.1,1,1,2,25.9,1,69.21
6.7,64.3,6,6.9,48.6,1,0,3,8.1,1,57.52
9.0,65.7,10,7.5,92.7,1,0,3,11.7,1,86.25
5.2,83.1,5,7.2,37.2,0,0,1,26.2,0,22.03
2.1,81.5,3,4.5,76.0,0,0,4,20.1,0,31.76
7.4,99.5,10,4.3,93.5,0,0,3,10.6,1,86.09
7.8,47.7,8,4.6,41.8,0,0,4,20.7,1,42.54
6.1,46.2,5,7.5,97.8,1,0,2,1.1,0,62.33
7.9,83.5,3,7.3,61.7,0,1,2,22.2,1,60.11
5.4,74.7,2,5.4,96.2,0,0,3,14.9,1,54.9
5.7,56.4,3,7.8,77.4,1,0,2,24.5,1,43.87
4.8,44.8,2,8.9,51.1,0,1,1,28.7,1,28.06
1.2,45.1,1,4.2,43.2,1,0,3,27.8,0,2.92
2.0,93.7,4,7.0,51.3,1,0,3,27.3,1,23.52
1.3,51.5,1,8.1,36.5,1,0,3,15.6,1,14.68
6.7,59.4,5,5.5,40.1,1,0,2,11.1,1,43.37
3.8,53.6,2,5.8,37.3,1,1,2,14.2,1,24.41
5.6,61.3,5,7.7,59.6,0,1,3,20.9,0,47.76
9.2,44.2,10,9.4,85.7,0,0,4,26.6,1,73.18
3.2,71.1,9,8.9,39.9,0,0,2,6.6,1,43.16
4.7,44.1,8,7.5,39.1,1,1,2,27.6,1,29.92
7.8,88.0,0,8.4,75.0,0,0,3,24.5,1,56.14
3.1,54.0,5,6.2,43.8,0,1,4,29.4,1,33.9
1.7,72.4,8,7.8,36.8,0,1,3,26.5,0,23.13
3.6,92.8,10,6.8,41.7,0,1,2,8.8,1,48.47
2.5,79.1,3,5.1,94.7,1,0,3,3.6,1,50.75
9.4,72.0,10,8.2,87.5,0,0,3,3.8,0,87.02
8.3,59.5,1,7.3,54.8,1,0,3,9.1,1,45.44
6.7,60.0,3,6.2,75.9,1,1,4,18.6,0,56.89
8.8,80.2,0,9.5,67.6,0,0,3,24.2,1,58.02
8.2,99.6,2,4.1,77.4,1,0,2,27.0,0,60.26
2.7,79.7,9,5.9,77.8,1,1,3,18.9,0,49.4
9.0,73.5,8,4.3,74.0,1,0,4,0.7,1,84.13
5.9,83.8,9,8.6,48.6,1,0,1,6.0,0,62.7
8.3,67.9,4,8.2,32.7,1,0,4,3.4,1,57.3
9.1,43.6,10,6.0,61.9,1,1,3,11.2,0,70.73
3.9,73.7,5,8.1,92.4,1,0,1,15.3,0,56.02
2.0,97.5,2,6.4,69.9,0,1,3,1.8,1,49.69
3.1,50.5,4,8.5,88.3,0,1,4,10.8,0,55.92
4.8,81.4,10,6.7,99.4,1,1,1,5.8,1,77.19
8.4,52.1,7,6.5,41.5,1,0,1,19.6,0,49.85
8.7,72.1,5,9.6,78.4,0,0,3,14.2,0,67.44
1.1,45.8,3,5.5,77.2,0,0,3,15.1,1,24.23
5.6,67.0,1,4.7,98.6,0,1,4,13.1,1,49.95
4.8,85.4,8,7.5,99.0,0,1,3,28.7,0,66.64
3.0,60.9,0,9.8,78.1,1,0,1,6.8,1,34.86
2.1,79.9,0,6.3,47.1,1,1,2,15.7,1,23.09
4.0,87.7,3,4.4,85.9,0,0,2,22.2,0,37.86
9.5,95.6,6,6.0,37.5,0,0,4,16.9,0,55.96
3.9,54.1,0,7.0,84.6,0,0,3,27.9,1,30.3
5.7,64.0,8,5.0,93.7,0,0,4,11.7,0,64.3
7.3,49.1,3,7.9,56.8,1,0,2,14.2,1,39.24
4.3,99.5,2,10.0,74.1,0,0,2,3.1,1,49.42
9.7,95.6,0,6.7,60.1,0,0,3,18.5,1,58.46
9.7,72.4,9,6.1,60.6,0,1,1,9.0,1,69.0
3.3,90.5,3,6.4,51.7,1,0,3,5.2,1,47.2
5.5,71.3,8,4.7,83.3,1,1,2,16.6,1,66.59
3.7,77.4,9,9.3,95.5,1,1,1,16.2,0,72.21
3.6,45.3,5,6.5,95.9,0,0,4,2.7,1,59.08
1.3,85.3,5,6.3,42.2,0,1,2,21.1,0,22.11
6.5,47.7,0,8.0,91.2,0,1,4,18.9,1,49.35
5.5,89.6,9,6.7,81.6,1,1,1,6.1,0,77.29
1.5,86.9,1,7.9,47.7,1,0,4,14.3,0,29.08
3.5,82.5,10,4.4,34.7,0,0,2,21.7,0,31.74
9.2,42.2,5,8.9,48.8,0,0,3,16.1,1,56.17
3.2,58.2,1,9.6,93.9,1,0,4,12.2,0,47.25
2.3,55.8,2,7.9,74.3,0,0,2,10.0,0,29.14
5.4,61.6,3,9.7,80.5,0,1,2,18.5,1,52.43
9.9,45.3,10,4.9,48.0,0,1,1,28.2,0,48.36
3.2,96.2,4,6.9,80.4,1,0,2,20.3,0,50.01
7.0,73.2,8,7.6,32.0,0,1,3,2.7,1,61.3
7.9,58.3,3,7.5,56.3,0,1,3,14.1,0,49.89
3.1,63.8,10,6.4,73.9,0,1,4,26.8,0,50.24
7.6,66.8,8,6.0,40.2,0,1,4,3.3,1,58.05
4.3,76.0,10,4.8,87.6,1,0,4,29.7,0,63.19
6.7,70.9,9,6.4,46.5,1,0,4,28.5,0,55.34
6.7,95.2,2,5.0,75.7,1,0,3,2.8,0,63.57
5.8,69.8,7,8.4,58.4,0,1,1,28.0,0,44.74
1.8,99.5,0,5.3,71.7,1,1,4,11.2,1,44.41
8.5,91.1,10,4.4,37.5,0,0,1,25.4,1,56.62
3.9,52.5,8,7.3,31.2,1,0,2,12.8,1,29.47
2.7,95.8,8,7.6,93.7,0,1,2,13.5,1,67.3
1.4,47.0,9,9.2,48.9,1,0,4,19.2,0,24.35
6.3,89.0,1,7.5,87.4,1,0,2,23.3,1,60.45
7.1,62.8,3,6.1,100.0,1,1,1,1.5,1,73.63
1.1,92.7,7,8.8,44.8,0,1,1,18.0,0,35.81
5.6,92.1,6,7.2,48.6,0,0,2,6.0,0,47.26
3.0,88.4,0,4.5,76.4,0,1,4,10.7,0,40.07
6.8,87.4,4,7.4,97.6,1,0,1,10.8,1,78.93
2.6,58.3,6,9.4,94.1,0,1,1,14.3,0,55.93
7.2,44.9,3,6.4,65.2,0,1,3,10.4,0,45.26
4.5,64.2,0,5.8,85.7,0,0,4,3.7,0,43.16
9.4,50.4,8,4.9,39.5,0,1,3,4.8,1,62.03
2.2,81.7,4,4.9,98.4,0,0,2,1.5,1,45.22
4.1,60.8,10,6.6,97.5,0,1,2,14.4,1,65.42
2.0,98.5,1,7.6,41.5,1,0,3,28.7,1,31.0
9.3,78.5,7,4.5,51.0,1,1,4,3.9,1,76.99
8.9,89.3,10,9.6,37.0,0,1,1,28.4,1,65.84
3.3,48.0,1,8.5,49.0,1,0,2,22.1,1,15.13
6.9,91.7,2,7.5,87.1,1,1,4,19.3,0,68.16
8.4,95.4,9,9.0,56.5,0,0,4,19.5,0,68.71
6.0,69.2,0,4.5,36.2,0,1,2,24.9,0,21.35
5.8,76.4,10,6.9,54.0,1,1,2,3.7,1,63.37
3.2,85.9,1,7.8,98.7,0,0,4,15.4,1,48.29
1.8,50.5,6,9.0,74.1,1,1,1,21.1,0,29.08
9.1,70.2,9,8.7,59.1,1,1,3,17.8,0,79.46
9.1,63.9,1,5.7,41.7,1,0,2,25.1,1,38.08
6.7,48.8,5,9.6,99.0,0,1,3,2.6,1,73.16
4.1,62.1,2,4.7,87.5,1,0,4,20.9,1,45.56
4.1,44.1,3,9.3,49.7,0,0,3,16.3,1,23.72
7.5,41.5,10,9.8,34.9,0,0,1,11.7,1,42.43
9.1,48.1,7,5.1,34.0,0,1,4,10.5,1,46.83
9.0,97.8,2,8.3,38.4,0,1,1,18.8,1,48.76
8.0,73.0,9,4.2,70.7,0,0,4,26.8,1,65.57
6.8,97.9,5,6.4,95.0,1,1,1,15.1,0,71.16
1.8,65.9,0,7.1,64.8,0,0,4,24.8,1,29.06
2.5,58.7,6,7.5,89.0,0,1,1,12.4,1,52.68
9.1,70.4,7,9.6,61.2,0,0,4,3.5,1,76.91
6.5,66.4,10,8.0,79.6,0,0,1,2.3,0,67.3
1.1,46.3,7,6.9,81.2,0,1,4,2.0,0,49.73
1.9,78.4,2,8.9,42.2,1,0,1,11.7,1,24.97
7.0,53.0,9,9.7,55.3,0,0,2,10.4,0,54.66
1.0,77.2,0,4.1,74.6,0,1,3,21.7,0,22.63
2.4,79.0,8,9.9,34.9,1,0,4,22.4,0,40.59
5.9,49.1,5,4.5,55.3,0,0,1,2.0,1,40.93
7.2,43.7,10,8.9,67.4,1,1,2,7.0,1,68.52
6.9,86.8,8,5.7,99.7,1,0,4,8.6,1,83.55
3.0,67.6,6,4.8,63.2,1,0,4,16.7,1,45.3
7.4,43.5,0,6.6,87.1,1,0,4,4.8,1,59.13
3.1,99.7,0,7.9,60.2,0,0,3,4.5,1,37.75
3.9,43.5,5,6.3,85.7,0,0,1,28.3,1,29.34
7.7,81.7,4,4.3,71.7,1,0,1,24.2,0,51.84
6.8,99.0,8,7.6,92.1,1,0,4,5.8,1,91.44
8.6,54.4,1,9.4,58.8,0,0,4,12.5,1,58.08
6.9,48.5,7,6.3,72.3,1,1,4,11.0,1,59.88
6.1,47.3,10,5.3,74.1,1,0,2,23.8,1,55.26
1.8,58.2,4,6.7,59.2,1,0,4,15.6,1,30.74
4.3,46.1,1,4.3,40.1,0,1,3,4.3,1,27.62
3.4,81.5,9,8.9,36.5,1,0,1,22.3,1,41.29
3.2,43.7,10,9.0,31.2,0,0,3,12.2,1,28.91
9.8,70.6,10,7.5,91.1,0,0,4,8.3,0,90.77
4.5,99.8,5,6.1,46.6,0,0,2,11.6,0,38.98
9.0,88.8,9,8.8,44.8,1,0,4,15.2,1,69.54
6.7,76.9,7,7.3,81.5,1,0,4,10.6,1,70.14
8.2,58.4,3,9.0,52.4,0,1,4,7.6,0,60.47
5.5,77.4,1,7.8,65.4,0,1,4,12.3,1,50.61
6.2,71.6,10,8.7,41.4,0,1,4,1.1,1,64.19
5.4,65.6,4,7.6,97.2,1,1,1,23.3,0,57.37
2.8,47.8,1,6.5,89.6,1,1,3,5.5,1,45.75
7.5,93.2,1,9.7,90.5,0,0,2,1.8,1,71.94
3.5,67.0,5,7.2,58.5,0,0,4,19.8,1,39.2
1.2,51.7,10,7.6,83.4,1,0,2,23.3,0,44.86
6.8,62.1,9,5.3,40.1,0,0,1,24.5,0,41.95
2.6,64.8,8,7.8,30.6,1,0,3,15.1,1,33.54
9.5,89.7,3,7.4,31.4,1,1,4,6.6,0,55.68
9.6,84.0,5,5.1,71.1,0,1,1,22.2,0,60.29
9.2,86.2,6,4.4,61.9,0,0,1,21.1,0,48.02
4.3,40.7,10,7.6,66.3,1,0,3,7.8,1,63.58
1.1,65.0,5,8.6,30.5,1,0,4,27.2,0,21.22
9.4,68.9,7,7.1,59.6,1,1,3,3.6,0,69.93
4.9,41.2,3,5.4,80.3,1,1,3,29.5,0,37.92
9.7,55.6,0,8.0,61.0,1,0,2,25.9,1,45.88
9.7,85.6,6,4.5,81.3,0,1,2,20.8,0,78.05
8.7,48.2,2,6.7,46.3,1,0,3,28.2,0,31.36
3.7,72.1,5,5.0,86.9,1,1,2,21.8,1,53.47
4.5,52.9,1,5.1,71.2,1,1,1,6.1,0,36.04
8.7,40.7,8,5.2,44.8,0,0,3,13.5,0,49.62
3.9,54.5,0,6.3,46.6,0,1,4,2.6,0,24.81
2.5,98.6,5,4.3,74.0,1,1,4,12.0,1,48.01
6.0,88.1,5,6.4,88.1,1,0,1,22.4,1,62.07
9.4,97.6,4,7.1,59.1,0,1,4,11.9,0,65.04
7.3,69.3,4,6.9,48.1,0,0,4,10.2,0,46.54
6.1,46.6,0,6.3,90.7,0,1,3,18.1,0,49.73
1.9,72.9,9,9.0,76.8,0,0,1,26.2,0,35.26
6.5,67.3,4,4.9,61.4,1,0,3,1.9,0,47.7
9.9,90.7,1,7.0,64.2,0,1,1,11.9,0,57.71
2.3,45.9,6,4.4,44.3,1,1,3,5.2,1,29.25
5.7,69.3,2,4.4,73.9,1,0,3,21.0,0,46.14
8.9,49.0,3,7.4,55.1,0,1,2,3.6,0,49.62
7.7,59.5,2,7.4,99.7,0,1,4,20.1,0,65.27
7.3,84.2,2,9.3,63.6,0,1,1,8.9,1,54.4
7.3,68.6,3,7.3,64.0,0,0,4,6.4,0,53.37
4.2,62.6,4,9.8,69.6,1,0,2,28.1,1,47.05
3.6,63.7,0,4.3,94.2,1,0,1,1.0,0,37.99
8.3,67.6,3,4.6,86.1,1,1,2,13.4,0,67.19
8.3,87.1,10,4.3,61.6,0,1,4,1.1,0,76.24
8.8,93.5,7,5.1,80.3,1,0,3,14.8,0,81.73
9.2,97.3,9,7.2,71.0,0,0,2,15.3,0,75.88
5.6,87.2,6,7.9,64.5,1,1,2,10.0,0,63.12
5.5,58.9,8,4.3,43.5,0,1,3,4.4,1,45.9
8.2,81.3,4,9.7,62.5,1,1,4,11.6,0,69.09
6.8,66.3,9,9.1,47.2,1,1,2,20.3,0,58.77
7.3,55.3,3,5.8,94.0,0,0,4,23.6,0,56.51
8.2,90.5,7,4.5,53.5,1,1,3,16.2,1,62.12
9.0,42.3,8,5.0,96.7,1,1,1,17.9,0,78.49
4.0,94.1,6,4.8,67.3,0,0,2,6.4,1,43.01
4.4,67.7,6,4.7,74.2,0,0,4,9.0,0,45.0
1.8,78.2,4,7.1,68.0,0,1,3,5.3,0,39.56
6.2,79.6,3,5.5,39.1,0,0,3,7.9,1,40.64
1.3,93.7,9,6.1,56.3,0,1,2,7.1,1,53.83
5.2,78.2,0,9.9,36.9,1,1,1,15.8,0,24.22
5.9,76.8,9,8.1,73.6,0,0,2,17.1,1,61.14
3.6,44.0,9,9.7,61.3,1,0,4,28.4,1,37.56
6.3,71.1,6,4.9,84.5,1,1,3,6.3,0,67.43
1.3,49.0,0,6.3,45.4,0,0,1,19.4,0,1.36
1.3,84.2,0,7.3,41.5,1,1,4,24.6,0,26.59
8.4,70.7,4,4.5,58.4,1,1,2,17.0,1,57.27
4.2,80.8,8,4.0,94.9,0,1,3,8.0,0,69.23
2.1,42.5,5,8.0,79.7,1,0,2,8.2,0,40.86
5.7,45.1,2,7.9,59.3,0,1,1,1.7,1,37.5
7.9,83.0,2,6.5,66.2,0,1,1,9.5,1,50.32
2.9,44.3,6,6.9,35.9,0,1,1,22.5,0,17.82
6.6,44.3,5,6.5,98.9,1,0,1,1.9,1,58.64
1.8,40.7,8,4.1,76.6,1,1,1,7.0,1,47.03
1.5,97.4,5,6.0,50.0,1,1,2,21.3,1,36.53
5.8,84.3,4,5.1,71.0,1,1,1,23.6,0,55.54
5.9,61.2,9,4.6,37.7,0,0,1,13.9,0,34.07
6.7,57.8,6,9.7,97.6,1,1,3,21.1,0,73.38
7.5,61.0,0,7.6,42.2,0,1,1,11.9,1,36.0
9.8,86.5,6,8.4,75.4,1,0,3,5.2,0,82.02
5.6,79.7,2,5.9,47.2,1,0,3,12.2,0,36.88
3.9,51.1,8,6.4,80.2,1,1,3,17.6,1,58.08
8.2,50.4,5,5.4,84.4,1,1,2,28.5,1,57.34
3.4,45.9,8,4.6,77.1,1,1,2,2.5,0,44.93
5.0,79.6,4,5.1,73.0,0,0,4,15.5,1,54.95
1.7,85.9,6,8.8,92.5,1,0,4,10.2,0,62.73
1.2,55.9,3,8.1,35.5,1,1,3,15.5,0,18.34
9.7,41.3,6,7.3,53.2,1,0,2,1.2,0,65.69
8.5,44.9,0,6.9,47.4,1,1,1,9.7,1,39.69
7.3,98.1,6,9.5,99.2,0,1,4,24.7,1,90.13
4.7,57.7,7,4.4,57.3,1,0,2,16.8,0,40.23
2.6,86.2,4,5.7,81.3,0,1,1,13.8,0,38.67
2.4,77.5,1,6.1,77.9,1,0,1,8.9,0,43.15
3.3,62.9,4,8.7,44.8,0,0,2,9.3,0,31.78
5.9,52.3,5,10.0,46.7,0,1,4,11.8,1,46.78
7.4,47.3,1,5.4,49.7,0,0,2,25.1,0,28.21
6.9,76.9,5,9.2,58.8,0,1,4,29.0,0,51.84
3.5,86.5,5,9.0,46.4,0,0,3,13.4,1,44.28
9.6,78.6,0,5.3,31.4,1,1,2,12.1,0,33.02
7.6,71.8,0,6.4,91.6,0,1,2,25.5,0,48.13
6.0,42.5,10,6.5,97.6,1,1,4,13.1,0,78.32
6.5,98.1,9,9.9,53.9,0,0,4,16.8,0,64.69
4.8,87.9,2,5.1,53.7,0,1,2,7.3,0,39.46
3.2,57.6,9,8.8,30.5,1,0,1,22.4,1,25.85
4.2,98.8,9,6.0,77.6,0,0,1,16.2,1,68.42
7.8,76.1,2,8.4,87.8,0,0,1,24.4,1,62.87
1.1,74.9,3,6.5,40.3,0,0,3,23.5,1,14.54
2.0,84.9,1,7.5,41.2,0,0,3,6.8,0,19.77
1.4,88.7,8,9.0,85.3,1,1,4,21.6,1,67.31
1.4,79.4,9,8.8,73.1,0,0,3,24.1,1,55.71
8.7,47.7,10,9.2,33.1,0,1,1,10.7,1,59.98
7.3,60.3,6,4.4,73.6,1,1,2,5.6,1,73.41
5.3,95.7,6,8.2,51.6,1,0,3,0.6,1,57.66
1.9,53.5,5,4.8,55.8,0,1,3,13.8,1,24.18
5.4,62.3,2,6.5,83.9,0,1,1,10.9,1,43.51
5.3,65.9,5,7.3,86.8,1,0,3,16.9,1,62.05
2.6,66.4,7,6.4,58.0,0,1,4,6.0,0,43.16
4.9,76.8,7,7.1,96.3,1,0,2,25.9,1,64.52
4.6,96.6,10,10.0,58.5,0,0,1,8.1,0,63.93
6.5,54.4,8,4.8,84.0,1,0,4,7.2,1,73.55
6.7,47.3,0,8.1,63.9,1,1,1,14.7,1,35.23
1.4,51.8,0,6.4,92.8,1,1,4,15.2,1,35.4
4.4,93.2,2,4.8,93.5,0,1,2,6.8,0,58.75
6.6,78.7,2,5.0,36.1,0,1,2,8.5,0,32.83
5.5,57.2,9,9.7,95.6,0,0,4,5.5,1,71.53
8.7,89.0,7,9.3,87.8,0,0,4,21.7,0,83.75
6.9,91.7,9,9.4,85.4,1,1,4,23.2,1,80.92
2.5,90.8,0,9.9,44.1,1,0,4,14.1,0,29.35
1.6,95.1,1,5.2,86.4,1,1,4,21.6,0,44.79
6.8,55.1,1,6.1,89.5,0,0,4,22.2,0,44.5
1.2,85.3,2,8.0,50.2,0,0,2,4.6,1,30.34
6.3,67.6,5,6.9,96.7,0,0,4,29.0,0,56.44
9.5,90.5,0,6.5,33.5,1,0,3,24.7,0,48.83
6.2,83.7,1,6.1,40.5,0,0,2,6.5,1,35.38
4.5,86.6,0,7.6,67.6,0,1,1,6.0,0,43.65
6.8,79.4,4,7.5,70.3,1,1,2,4.2,1,69.3
5.1,50.6,6,5.0,75.2,1,0,1,4.6,1,47.65
5.9,72.7,7,6.8,31.2,0,1,1,22.6,0,26.62
9.5,99.1,9,7.3,97.2,1,0,3,14.4,1,100.0
4.5,96.2,0,7.4,33.1,0,0,4,23.6,0,24.65
9.7,42.6,6,5.3,40.0,1,0,4,22.5,0,49.5
9.1,49.9,4,8.5,31.0,1,0,2,18.3,1,42.68
2.8,47.9,9,4.2,69.7,1,1,4,20.7,0,42.39
1.6,83.6,0,6.1,95.3,0,0,3,1.0,0,49.23
1.9,89.1,2,8.7,76.6,0,1,2,9.7,1,38.07
1.2,52.8,6,7.4,87.6,0,0,2,19.3,1,40.48
1.8,70.4,9,5.6,30.9,1,0,2,0.8,0,29.25
7.1,90.4,0,8.2,67.9,1,1,4,1.5,1,64.14
1.6,84.0,6,7.4,62.2,1,0,4,25.6,1,40.42
3.9,72.5,4,8.8,64.9,1,0,4,20.7,1,44.11
8.6,75.4,0,8.4,35.1,0,1,2,8.3,1,46.23
1.2,70.5,0,7.7,77.9,0,1,2,20.8,0,31.5
8.3,57.9,0,6.9,65.2,0,1,1,23.9,0,41.68
3.5,73.9,10,4.8,83.6,1,0,1,9.6,1,61.26
2.1,81.3,8,5.6,64.0,1,0,4,1.6,0,46.45
7.3,92.4,10,6.5,40.5,0,1,2,28.0,1,60.58
6.7,78.2,2,7.6,75.4,1,1,4,10.7,1,73.78
8.9,85.7,4,7.1,42.1,0,0,4,3.6,0,54.73
7.6,49.6,10,5.7,91.1,1,0,1,15.0,0,68.0
8.2,67.7,9,4.0,72.9,1,1,3,23.2,0,65.98
3.5,40.6,8,7.0,41.0,0,1,4,7.0,0,32.13
2.6,54.8,5,5.7,97.4,0,1,3,8.4,1,39.55
7.8,83.6,8,8.4,66.3,1,1,3,7.7,1,81.15
8.3,99.5,7,4.1,35.1,0,0,2,29.8,0,42.18
9.9,46.0,7,7.5,73.9,0,0,2,6.3,1,61.71
4.7,64.1,0,9.6,47.7,1,0,4,17.5,0,35.01
4.3,88.0,8,5.0,86.3,1,0,1,27.8,0,51.6
8.0,52.2,5,6.8,87.2,1,1,1,4.8,0,65.89
4.1,73.3,8,4.5,98.5,0,0,4,29.1,1,65.16
9.4,84.0,2,7.8,65.1,1,1,4,28.5,1,60.36
8.7,77.0,2,7.3,61.8,1,0,1,26.6,0,43.25
4.9,51.3,5,6.4,82.7,1,0,3,6.8,0,53.6
7.8,61.3,8,7.1,39.3,1,0,4,19.2,0,57.26
7.8,87.0,6,9.4,68.3,1,1,3,22.9,0,63.95
1.9,73.3,2,5.2,68.2,0,0,4,29.6,1,27.44
9.1,40.3,2,4.1,36.3,1,1,4,5.8,1,46.32
5.5,85.7,1,9.2,59.3,1,1,3,23.1,0,38.13
8.4,42.1,8,7.5,89.7,0,0,3,10.5,0,71.81
3.9,84.7,2,9.3,89.9,1,1,1,5.7,1,64.76
9.1,52.1,10,7.6,36.9,1,0,4,12.9,0,59.32
4.5,97.5,4,8.9,36.4,0,1,2,23.9,1,44.46
